date,status,cases
2020-01-26,confirmed,4
2020-01-26,deaths,0
2020-01-26,recovered,0
2020-01-27,confirmed,5
2020-01-27,deaths,0
2020-01-27,recovered,0
2020-01-28,confirmed,5
2020-01-28,deaths,0
2020-01-28,recovered,0
2020-01-29,confirmed,6
2020-01-29,deaths,0
2020-01-29,recovered,0
2020-01-30,confirmed,9
2020-01-30,deaths,0
2020-01-30,recovered,2
2020-01-31,confirmed,9
2020-01-31,deaths,0
2020-01-31,recovered,2
2020-02-01,confirmed,12
2020-02-01,deaths,0
2020-02-01,recovered,2
2020-02-02,confirmed,12
2020-02-02,deaths,0
2020-02-02,recovered,2
2020-02-03,confirmed,12
2020-02-03,deaths,0
2020-02-03,recovered,2
2020-02-04,confirmed,13
2020-02-04,deaths,0
2020-02-04,recovered,2
2020-02-05,confirmed,13
2020-02-05,deaths,0
2020-02-05,recovered,2
2020-02-06,confirmed,14
2020-02-06,deaths,0
2020-02-06,recovered,2
2020-02-07,confirmed,15
2020-02-07,deaths,0
2020-02-07,recovered,2
2020-02-08,confirmed,15
2020-02-08,deaths,0
2020-02-08,recovered,2
2020-02-09,confirmed,15
2020-02-09,deaths,0
2020-02-09,recovered,2
2020-02-10,confirmed,15
2020-02-10,deaths,0
2020-02-10,recovered,2
2020-02-11,confirmed,15
2020-02-11,deaths,0
2020-02-11,recovered,2
2020-02-12,confirmed,15
2020-02-12,deaths,0
2020-02-12,recovered,2
2020-02-13,confirmed,15
2020-02-13,deaths,0
2020-02-13,recovered,8
2020-02-14,confirmed,15
2020-02-14,deaths,0
2020-02-14,recovered,8
2020-02-15,confirmed,15
2020-02-15,deaths,0
2020-02-15,recovered,8
2020-02-16,confirmed,15
2020-02-16,deaths,0
2020-02-16,recovered,8
2020-02-17,confirmed,15
2020-02-17,deaths,0
2020-02-17,recovered,10
2020-02-18,confirmed,15
2020-02-18,deaths,0
2020-02-18,recovered,10
2020-02-19,confirmed,15
2020-02-19,deaths,0
2020-02-19,recovered,10
2020-02-20,confirmed,15
2020-02-20,deaths,0
2020-02-20,recovered,10
2020-02-21,confirmed,15
2020-02-21,deaths,0
2020-02-21,recovered,11
2020-02-22,confirmed,15
2020-02-22,deaths,0
2020-02-22,recovered,11
2020-02-23,confirmed,15
2020-02-23,deaths,0
2020-02-23,recovered,11
2020-02-24,confirmed,15
2020-02-24,deaths,0
2020-02-24,recovered,11
2020-02-25,confirmed,15
2020-02-25,deaths,0
2020-02-25,recovered,11
2020-02-26,confirmed,15
2020-02-26,deaths,0
2020-02-26,recovered,11
2020-02-27,confirmed,15
2020-02-27,deaths,0
2020-02-27,recovered,11
2020-02-28,confirmed,15
2020-02-28,deaths,0
2020-02-28,recovered,11
2020-02-29,confirmed,25
2020-02-29,deaths,0
2020-02-29,recovered,11
