date,status,cases
2020-03-08,confirmed,3
2020-03-08,deaths,0
2020-03-08,recovered,0
2020-03-09,confirmed,3
2020-03-09,deaths,0
2020-03-09,recovered,0
2020-03-10,confirmed,3
2020-03-10,deaths,0
2020-03-10,recovered,0
2020-03-11,confirmed,3
2020-03-11,deaths,0
2020-03-11,recovered,0
2020-03-12,confirmed,3
2020-03-12,deaths,0
2020-03-12,recovered,0
2020-03-13,confirmed,3
2020-03-13,deaths,0
2020-03-13,recovered,0
2020-03-14,confirmed,3
2020-03-14,deaths,0
2020-03-14,recovered,0
2020-03-15,confirmed,5
2020-03-15,deaths,0
2020-03-15,recovered,0
2020-03-16,confirmed,8
2020-03-16,deaths,0
2020-03-16,recovered,2
2020-03-17,confirmed,10
2020-03-17,deaths,0
2020-03-17,recovered,3
2020-03-18,confirmed,14
2020-03-18,deaths,1
2020-03-18,recovered,3
2020-03-19,confirmed,17
2020-03-19,deaths,1
2020-03-19,recovered,3
2020-03-20,confirmed,20
2020-03-20,deaths,1
2020-03-20,recovered,3
2020-03-21,confirmed,25
2020-03-21,deaths,2
2020-03-21,recovered,3
2020-03-22,confirmed,27
2020-03-22,deaths,2
2020-03-22,recovered,3
2020-03-23,confirmed,33
2020-03-23,deaths,3
2020-03-23,recovered,3
2020-03-24,confirmed,39
2020-03-24,deaths,4
2020-03-24,recovered,5
2020-03-25,confirmed,39
2020-03-25,deaths,5
2020-03-25,recovered,7
2020-03-26,confirmed,44
2020-03-26,deaths,5
2020-03-26,recovered,11
2020-03-27,confirmed,48
2020-03-27,deaths,5
2020-03-27,recovered,11
2020-03-28,confirmed,48
2020-03-28,deaths,5
2020-03-28,recovered,15
2020-03-29,confirmed,48
2020-03-29,deaths,5
2020-03-29,recovered,15
2020-03-30,confirmed,49
2020-03-30,deaths,5
2020-03-30,recovered,19
2020-03-31,confirmed,51
2020-03-31,deaths,5
2020-03-31,recovered,25
2020-04-01,confirmed,54
2020-04-01,deaths,6
2020-04-01,recovered,25
2020-04-02,confirmed,56
2020-04-02,deaths,6
2020-04-02,recovered,25
2020-04-03,confirmed,61
2020-04-03,deaths,6
2020-04-03,recovered,26
2020-04-04,confirmed,70
2020-04-04,deaths,8
2020-04-04,recovered,30
2020-04-05,confirmed,88
2020-04-05,deaths,9
2020-04-05,recovered,33
2020-04-06,confirmed,123
2020-04-06,deaths,12
2020-04-06,recovered,33
2020-04-07,confirmed,164
2020-04-07,deaths,17
2020-04-07,recovered,33
2020-04-08,confirmed,218
2020-04-08,deaths,20
2020-04-08,recovered,33
2020-04-09,confirmed,330
2020-04-09,deaths,21
2020-04-09,recovered,33
2020-04-10,confirmed,424
2020-04-10,deaths,27
2020-04-10,recovered,33
2020-04-11,confirmed,482
2020-04-11,deaths,30
2020-04-11,recovered,36
2020-04-12,confirmed,621
2020-04-12,deaths,34
2020-04-12,recovered,39
2020-04-13,confirmed,803
2020-04-13,deaths,39
2020-04-13,recovered,42
2020-04-14,confirmed,1012
2020-04-14,deaths,46
2020-04-14,recovered,42
2020-04-15,confirmed,1231
2020-04-15,deaths,50
2020-04-15,recovered,49
2020-04-16,confirmed,1572
2020-04-16,deaths,60
2020-04-16,recovered,49
2020-04-17,confirmed,1838
2020-04-17,deaths,75
2020-04-17,recovered,58
2020-04-18,confirmed,2144
2020-04-18,deaths,84
2020-04-18,recovered,66
2020-04-19,confirmed,2456
2020-04-19,deaths,91
2020-04-19,recovered,75
2020-04-20,confirmed,2948
2020-04-20,deaths,101
2020-04-20,recovered,85
2020-04-21,confirmed,3382
2020-04-21,deaths,110
2020-04-21,recovered,87
2020-04-22,confirmed,3772
2020-04-22,deaths,120
2020-04-22,recovered,92
2020-04-23,confirmed,4186
2020-04-23,deaths,127
2020-04-23,recovered,108
2020-04-24,confirmed,4689
2020-04-24,deaths,131
2020-04-24,recovered,112
2020-04-25,confirmed,4998
2020-04-25,deaths,140
2020-04-25,recovered,113
2020-04-26,confirmed,5416
2020-04-26,deaths,145
2020-04-26,recovered,122
2020-04-27,confirmed,5913
2020-04-27,deaths,152
2020-04-27,recovered,131
2020-04-28,confirmed,6462
2020-04-28,deaths,155
2020-04-28,recovered,139
2020-04-29,confirmed,7103
2020-04-29,deaths,163
2020-04-29,recovered,150
2020-04-30,confirmed,7667
2020-04-30,deaths,168
2020-04-30,recovered,160
2020-05-01,confirmed,8238
2020-05-01,deaths,170
2020-05-01,recovered,174
2020-05-02,confirmed,8790
2020-05-02,deaths,175
2020-05-02,recovered,177
2020-05-03,confirmed,9455
2020-05-03,deaths,177
2020-05-03,recovered,1063
2020-05-04,confirmed,10143
2020-05-04,deaths,182
2020-05-04,recovered,1209
2020-05-05,confirmed,10929
2020-05-05,deaths,183
2020-05-05,recovered,1403
2020-05-06,confirmed,11719
2020-05-06,deaths,186
2020-05-06,recovered,1403
2020-05-07,confirmed,12425
2020-05-07,deaths,199
2020-05-07,recovered,1910
2020-05-08,confirmed,13134
2020-05-08,deaths,206
2020-05-08,recovered,2101
2020-05-09,confirmed,13770
2020-05-09,deaths,214
2020-05-09,recovered,2414
2020-05-10,confirmed,14657
2020-05-10,deaths,228
2020-05-10,recovered,2650
2020-05-11,confirmed,15691
2020-05-11,deaths,239
2020-05-11,recovered,2902
2020-05-12,confirmed,16660
2020-05-12,deaths,250
2020-05-12,recovered,3147
2020-05-13,confirmed,17822
2020-05-13,deaths,269
2020-05-13,recovered,3361
2020-05-14,confirmed,18863
2020-05-14,deaths,283
2020-05-14,recovered,3361
2020-05-15,confirmed,20065
2020-05-15,deaths,298
2020-05-15,recovered,3882
2020-05-16,confirmed,20995
2020-05-16,deaths,314
2020-05-16,recovered,4117
2020-05-17,confirmed,22268
2020-05-17,deaths,328
2020-05-17,recovered,4373
2020-05-18,confirmed,23870
2020-05-18,deaths,349
2020-05-18,recovered,4585
2020-05-19,confirmed,25121
2020-05-19,deaths,370
2020-05-19,recovered,4993
2020-05-20,confirmed,26738
2020-05-20,deaths,386
2020-05-20,recovered,5207
2020-05-21,confirmed,28511
2020-05-21,deaths,408
2020-05-21,recovered,5602
2020-05-22,confirmed,30205
2020-05-22,deaths,432
2020-05-22,recovered,6190
2020-05-23,confirmed,32078
2020-05-23,deaths,452
2020-05-23,recovered,6486
2020-05-24,confirmed,33610
2020-05-24,deaths,480
2020-05-24,recovered,6901
2020-05-25,confirmed,35585
2020-05-25,deaths,501
2020-05-25,recovered,7334
2020-05-26,confirmed,36751
2020-05-26,deaths,522
