date,status,cases
2020-02-04,confirmed,1
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,1
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,1
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,1
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,1
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,1
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,1
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,1
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,1
2020-02-12,deaths,0
2020-02-12,recovered,0
2020-02-13,confirmed,1
2020-02-13,deaths,0
2020-02-13,recovered,0
2020-02-14,confirmed,1
2020-02-14,deaths,0
2020-02-14,recovered,0
2020-02-15,confirmed,1
2020-02-15,deaths,0
2020-02-15,recovered,0
2020-02-16,confirmed,1
2020-02-16,deaths,0
2020-02-16,recovered,0
2020-02-17,confirmed,1
2020-02-17,deaths,0
2020-02-17,recovered,1
2020-02-18,confirmed,1
2020-02-18,deaths,0
2020-02-18,recovered,1
2020-02-19,confirmed,1
2020-02-19,deaths,0
2020-02-19,recovered,1
2020-02-20,confirmed,1
2020-02-20,deaths,0
2020-02-20,recovered,1
2020-02-21,confirmed,1
2020-02-21,deaths,0
2020-02-21,recovered,1
2020-02-22,confirmed,1
2020-02-22,deaths,0
2020-02-22,recovered,1
2020-02-23,confirmed,1
2020-02-23,deaths,0
2020-02-23,recovered,1
2020-02-24,confirmed,1
2020-02-24,deaths,0
2020-02-24,recovered,1
2020-02-25,confirmed,1
2020-02-25,deaths,0
2020-02-25,recovered,1
2020-02-26,confirmed,1
2020-02-26,deaths,0
2020-02-26,recovered,1
2020-02-27,confirmed,1
2020-02-27,deaths,0
2020-02-27,recovered,1
2020-02-28,confirmed,1
2020-02-28,deaths,0
2020-02-28,recovered,1
2020-02-29,confirmed,1
2020-02-29,deaths,0
2020-02-29,recovered,1
2020-03-01,confirmed,2
2020-03-01,deaths,0
2020-03-01,recovered,1
2020-03-02,confirmed,8
2020-03-02,deaths,0
2020-03-02,recovered,1
2020-03-03,confirmed,13
2020-03-03,deaths,0
2020-03-03,recovered,1
2020-03-04,confirmed,23
2020-03-04,deaths,0
2020-03-04,recovered,1
2020-03-05,confirmed,50
2020-03-05,deaths,0
2020-03-05,recovered,1
2020-03-06,confirmed,109
2020-03-06,deaths,0
2020-03-06,recovered,1
2020-03-07,confirmed,169
2020-03-07,deaths,0
2020-03-07,recovered,1
2020-03-08,confirmed,200
2020-03-08,deaths,0
2020-03-08,recovered,1
2020-03-09,confirmed,239
2020-03-09,deaths,0
2020-03-09,recovered,1
2020-03-10,confirmed,267
2020-03-10,deaths,0
2020-03-10,recovered,1
2020-03-11,confirmed,314
2020-03-11,deaths,3
2020-03-11,recovered,1
2020-03-12,confirmed,314
2020-03-12,deaths,3
2020-03-12,recovered,1
2020-03-13,confirmed,559
2020-03-13,deaths,3
2020-03-13,recovered,1
2020-03-14,confirmed,689
2020-03-14,deaths,4
2020-03-14,recovered,1
2020-03-15,confirmed,886
2020-03-15,deaths,4
2020-03-15,recovered,1
2020-03-16,confirmed,1058
2020-03-16,deaths,5
2020-03-16,recovered,1
2020-03-17,confirmed,1243
2020-03-17,deaths,10
2020-03-17,recovered,1
2020-03-18,confirmed,1486
2020-03-18,deaths,14
2020-03-18,recovered,31
2020-03-19,confirmed,1795
2020-03-19,deaths,21
2020-03-19,recovered,31
2020-03-20,confirmed,2257
2020-03-20,deaths,37
2020-03-20,recovered,1
2020-03-21,confirmed,2815
2020-03-21,deaths,67
2020-03-21,recovered,263
2020-03-22,confirmed,3401
2020-03-22,deaths,75
2020-03-22,recovered,263
2020-03-23,confirmed,3743
2020-03-23,deaths,88
2020-03-23,recovered,263
2020-03-24,confirmed,4269
2020-03-24,deaths,122
2020-03-24,recovered,461
2020-03-25,confirmed,4937
2020-03-25,deaths,178
2020-03-25,recovered,547
2020-03-26,confirmed,6235
2020-03-26,deaths,220
2020-03-26,recovered,675
2020-03-27,confirmed,7284
2020-03-27,deaths,289
2020-03-27,recovered,858
2020-03-28,confirmed,9134
2020-03-28,deaths,353
2020-03-28,recovered,1063
2020-03-29,confirmed,10836
2020-03-29,deaths,431
2020-03-29,recovered,1359
2020-03-30,confirmed,11899
2020-03-30,deaths,513
2020-03-30,recovered,1527
2020-03-31,confirmed,12775
2020-03-31,deaths,705
2020-03-31,recovered,1696
2020-04-01,confirmed,13964
2020-04-01,deaths,828
2020-04-01,recovered,2132
2020-04-02,confirmed,15348
2020-04-02,deaths,1011
2020-04-02,recovered,2495
2020-04-03,confirmed,16770
2020-04-03,deaths,1143
2020-04-03,recovered,2872
2020-04-04,confirmed,18431
2020-04-04,deaths,1283
2020-04-04,recovered,3247
2020-04-05,confirmed,19691
2020-04-05,deaths,1447
2020-04-05,recovered,3751
2020-04-06,confirmed,20814
2020-04-06,deaths,1632
2020-04-06,recovered,3986
2020-04-07,confirmed,22194
2020-04-07,deaths,2035
2020-04-07,recovered,4157
2020-04-08,confirmed,23403
2020-04-08,deaths,2240
2020-04-08,recovered,4681
2020-04-09,confirmed,24983
2020-04-09,deaths,2523
2020-04-09,recovered,5164
2020-04-10,confirmed,26667
2020-04-10,deaths,3019
2020-04-10,recovered,5568
2020-04-11,confirmed,28018
2020-04-11,deaths,3346
2020-04-11,recovered,5986
2020-04-12,confirmed,29647
2020-04-12,deaths,3600
2020-04-12,recovered,6463
2020-04-13,confirmed,30589
2020-04-13,deaths,3903
2020-04-13,recovered,6707
2020-04-14,confirmed,31119
2020-04-14,deaths,4157
2020-04-14,recovered,6868
2020-04-15,confirmed,33573
2020-04-15,deaths,4440
2020-04-15,recovered,7107
2020-04-16,confirmed,34809
2020-04-16,deaths,4857
2020-04-16,recovered,7562
2020-04-17,confirmed,36138
2020-04-17,deaths,5163
2020-04-17,recovered,7961
2020-04-18,confirmed,37183
2020-04-18,deaths,5453
2020-04-18,recovered,8348
2020-04-19,confirmed,38496
2020-04-19,deaths,5683
2020-04-19,recovered,8757
2020-04-20,confirmed,39983
2020-04-20,deaths,5828
2020-04-20,recovered,8895
2020-04-21,confirmed,40956
2020-04-21,deaths,5998
2020-04-21,recovered,9002
2020-04-22,confirmed,41889
2020-04-22,deaths,6262
2020-04-22,recovered,9433
2020-04-23,confirmed,42797
2020-04-23,deaths,6490
2020-04-23,recovered,9800
2020-04-24,confirmed,44293
2020-04-24,deaths,6679
2020-04-24,recovered,10122
2020-04-25,confirmed,45325
2020-04-25,deaths,6917
2020-04-25,recovered,10417
2020-04-26,confirmed,46134
2020-04-26,deaths,7094
2020-04-26,recovered,10785
2020-04-27,confirmed,46687
2020-04-27,deaths,7207
2020-04-27,recovered,10878
2020-04-28,confirmed,47334
2020-04-28,deaths,7331
2020-04-28,recovered,10943
2020-04-29,confirmed,47859
2020-04-29,deaths,7501
2020-04-29,recovered,11283
2020-04-30,confirmed,48519
2020-04-30,deaths,7594
2020-04-30,recovered,11576
2020-05-01,confirmed,49032
2020-05-01,deaths,7703
2020-05-01,recovered,11892
2020-05-02,confirmed,49517
2020-05-02,deaths,7765
2020-05-02,recovered,12211
2020-05-03,confirmed,49906
2020-05-03,deaths,7844
2020-05-03,recovered,12309
2020-05-04,confirmed,50267
2020-05-04,deaths,7924
2020-05-04,recovered,12378
2020-05-05,confirmed,50509
2020-05-05,deaths,8016
2020-05-05,recovered,12441
2020-05-06,confirmed,50781
2020-05-06,deaths,8339
2020-05-06,recovered,12731
2020-05-07,confirmed,51420
2020-05-07,deaths,8415
2020-05-07,recovered,12980
2020-05-08,confirmed,52011
2020-05-08,deaths,8521
2020-05-08,recovered,13201
2020-05-09,confirmed,52596
2020-05-09,deaths,8581
2020-05-09,recovered,13411
2020-05-10,confirmed,53081
2020-05-10,deaths,8656
2020-05-10,recovered,13642
2020-05-11,confirmed,53449
2020-05-11,deaths,8707
2020-05-11,recovered,13697
2020-05-12,confirmed,53779
2020-05-12,deaths,8761
2020-05-12,recovered,13732
2020-05-13,confirmed,53981
2020-05-13,deaths,8843
2020-05-13,recovered,13937
2020-05-14,confirmed,54288
2020-05-14,deaths,8903
2020-05-14,recovered,14111
2020-05-15,confirmed,54644
2020-05-15,deaths,8959
2020-05-15,recovered,14301
2020-05-16,confirmed,54989
2020-05-16,deaths,9005
2020-05-16,recovered,14460
2020-05-17,confirmed,55280
2020-05-17,deaths,9052
2020-05-17,recovered,14630
2020-05-18,confirmed,55559
2020-05-18,deaths,9080
2020-05-18,recovered,14657
2020-05-19,confirmed,55791
2020-05-19,deaths,9108
2020-05-19,recovered,14687
2020-05-20,confirmed,55983
2020-05-20,deaths,9150
2020-05-20,recovered,14847
2020-05-21,confirmed,56235
2020-05-21,deaths,9186
2020-05-21,recovered,14988
2020-05-22,confirmed,56511
2020-05-22,deaths,9212
2020-05-22,recovered,15123
2020-05-23,confirmed,56810
2020-05-23,deaths,9237
2020-05-23,recovered,15155
2020-05-24,confirmed,57092
2020-05-24,deaths,9280
2020-05-24,recovered,15272
2020-05-25,confirmed,57342
2020-05-25,deaths,9312
2020-05-25,recovered,15297
2020-05-26,confirmed,57455
2020-05-26,deaths,9334
2020-05-26,recovered,15320
2020-05-27,confirmed,57592
2020-05-27,deaths,9364
2020-05-27,recovered,15465
2020-05-28,confirmed,57849
2020-05-28,deaths,9388
2020-05-28,recovered,15572
2020-05-29,confirmed,58061
2020-05-29,deaths,9430
2020-05-29,recovered,15682
2020-05-30,confirmed,58186
2020-05-30,deaths,9453
2020-05-30,recovered,15769
2020-05-31,confirmed,58381
2020-05-31,deaths,9467
2020-05-31,recovered,15887
2020-06-01,confirmed,58517
2020-06-01,deaths,9486
2020-06-01,recovered,15919
2020-06-02,confirmed,58615
2020-06-02,deaths,9505
2020-06-02,recovered,15934
2020-06-03,confirmed,58685
2020-06-03,deaths,9522
2020-06-03,recovered,15959
2020-06-04,confirmed,58767
2020-06-04,deaths,9548
2020-06-04,recovered,16048
2020-06-05,confirmed,58907
2020-06-05,deaths,9566
2020-06-05,recovered,16112
