date,status,cases
2020-03-06,confirmed,1
2020-03-06,deaths,0
2020-03-06,recovered,0
2020-03-07,confirmed,1
2020-03-07,deaths,0
2020-03-07,recovered,0
2020-03-08,confirmed,1
2020-03-08,deaths,0
2020-03-08,recovered,0
2020-03-09,confirmed,1
2020-03-09,deaths,0
2020-03-09,recovered,0
2020-03-10,confirmed,1
2020-03-10,deaths,0
2020-03-10,recovered,0
2020-03-11,confirmed,1
2020-03-11,deaths,0
2020-03-11,recovered,0
2020-03-12,confirmed,1
2020-03-12,deaths,0
2020-03-12,recovered,0
2020-03-13,confirmed,1
2020-03-13,deaths,0
2020-03-13,recovered,0
2020-03-14,confirmed,1
2020-03-14,deaths,0
2020-03-14,recovered,0
2020-03-15,confirmed,1
2020-03-15,deaths,0
2020-03-15,recovered,0
2020-03-16,confirmed,1
2020-03-16,deaths,0
2020-03-16,recovered,0
2020-03-17,confirmed,1
2020-03-17,deaths,0
2020-03-17,recovered,0
2020-03-18,confirmed,1
2020-03-18,deaths,0
2020-03-18,recovered,0
2020-03-19,confirmed,1
2020-03-19,deaths,0
2020-03-19,recovered,0
2020-03-20,confirmed,2
2020-03-20,deaths,0
2020-03-20,recovered,0
2020-03-21,confirmed,2
2020-03-21,deaths,0
2020-03-21,recovered,0
2020-03-22,confirmed,2
2020-03-22,deaths,0
2020-03-22,recovered,0
2020-03-23,confirmed,2
2020-03-23,deaths,0
2020-03-23,recovered,0
2020-03-24,confirmed,2
2020-03-24,deaths,0
2020-03-24,recovered,0
2020-03-25,confirmed,2
2020-03-25,deaths,0
2020-03-25,recovered,0
2020-03-26,confirmed,2
2020-03-26,deaths,0
2020-03-26,recovered,0
2020-03-27,confirmed,3
2020-03-27,deaths,0
2020-03-27,recovered,0
2020-03-28,confirmed,3
2020-03-28,deaths,0
2020-03-28,recovered,0
2020-03-29,confirmed,4
2020-03-29,deaths,0
2020-03-29,recovered,0
2020-03-30,confirmed,4
2020-03-30,deaths,0
2020-03-30,recovered,0
2020-03-31,confirmed,4
2020-03-31,deaths,0
2020-03-31,recovered,0
2020-04-01,confirmed,4
2020-04-01,deaths,0
2020-04-01,recovered,0
2020-04-02,confirmed,5
2020-04-02,deaths,0
2020-04-02,recovered,1
2020-04-03,confirmed,5
2020-04-03,deaths,0
2020-04-03,recovered,2
2020-04-04,confirmed,5
2020-04-04,deaths,0
2020-04-04,recovered,2
2020-04-05,confirmed,5
2020-04-05,deaths,0
2020-04-05,recovered,2
2020-04-06,confirmed,5
2020-04-06,deaths,0
2020-04-06,recovered,2
2020-04-07,confirmed,5
2020-04-07,deaths,0
2020-04-07,recovered,2
2020-04-08,confirmed,5
2020-04-08,deaths,0
2020-04-08,recovered,2
2020-04-09,confirmed,5
2020-04-09,deaths,0
2020-04-09,recovered,2
2020-04-10,confirmed,5
2020-04-10,deaths,0
2020-04-10,recovered,2
2020-04-11,confirmed,5
2020-04-11,deaths,0
2020-04-11,recovered,2
2020-04-12,confirmed,5
2020-04-12,deaths,0
2020-04-12,recovered,2
2020-04-13,confirmed,5
2020-04-13,deaths,0
2020-04-13,recovered,2
2020-04-14,confirmed,5
2020-04-14,deaths,0
2020-04-14,recovered,2
2020-04-15,confirmed,5
2020-04-15,deaths,0
2020-04-15,recovered,2
2020-04-16,confirmed,5
2020-04-16,deaths,0
2020-04-16,recovered,2
2020-04-17,confirmed,5
2020-04-17,deaths,0
2020-04-17,recovered,2
2020-04-18,confirmed,5
2020-04-18,deaths,0
2020-04-18,recovered,2
2020-04-19,confirmed,5
2020-04-19,deaths,0
2020-04-19,recovered,2
2020-04-20,confirmed,5
2020-04-20,deaths,0
2020-04-20,recovered,2
2020-04-21,confirmed,6
2020-04-21,deaths,0
2020-04-21,recovered,2
2020-04-22,confirmed,6
2020-04-22,deaths,0
2020-04-22,recovered,2
2020-04-23,confirmed,7
2020-04-23,deaths,0
2020-04-23,recovered,3
2020-04-24,confirmed,7
2020-04-24,deaths,0
2020-04-24,recovered,3
2020-04-25,confirmed,7
2020-04-25,deaths,0
2020-04-25,recovered,3
2020-04-26,confirmed,7
2020-04-26,deaths,0
2020-04-26,recovered,4
2020-04-27,confirmed,7
2020-04-27,deaths,0
2020-04-27,recovered,4
2020-04-28,confirmed,7
2020-04-28,deaths,0
2020-04-28,recovered,5
2020-04-29,confirmed,7
2020-04-29,deaths,0
2020-04-29,recovered,5
2020-04-30,confirmed,7
2020-04-30,deaths,0
2020-04-30,recovered,5
2020-05-01,confirmed,7
2020-05-01,deaths,0
2020-05-01,recovered,5
2020-05-02,confirmed,7
2020-05-02,deaths,0
2020-05-02,recovered,5
2020-05-03,confirmed,7
2020-05-03,deaths,0
2020-05-03,recovered,5
2020-05-04,confirmed,7
2020-05-04,deaths,0
2020-05-04,recovered,5
2020-05-05,confirmed,7
2020-05-05,deaths,0
2020-05-05,recovered,5
2020-05-06,confirmed,7
2020-05-06,deaths,0
2020-05-06,recovered,5
2020-05-07,confirmed,7
2020-05-07,deaths,0
2020-05-07,recovered,5
2020-05-08,confirmed,7
2020-05-08,deaths,0
2020-05-08,recovered,5
2020-05-09,confirmed,7
2020-05-09,deaths,0
2020-05-09,recovered,5
2020-05-10,confirmed,7
2020-05-10,deaths,0
2020-05-10,recovered,5
2020-05-11,confirmed,9
2020-05-11,deaths,0
2020-05-11,recovered,5
2020-05-12,confirmed,11
2020-05-12,deaths,0
2020-05-12,recovered,5
2020-05-13,confirmed,15
2020-05-13,deaths,0
2020-05-13,recovered,5
2020-05-14,confirmed,20
2020-05-14,deaths,0
2020-05-14,recovered,5
2020-05-15,confirmed,21
2020-05-15,deaths,0
2020-05-15,recovered,5
2020-05-16,confirmed,21
2020-05-16,deaths,0
2020-05-16,recovered,5
2020-05-17,confirmed,21
2020-05-17,deaths,0
2020-05-17,recovered,5
2020-05-18,confirmed,21
2020-05-18,deaths,0
2020-05-18,recovered,5
2020-05-19,confirmed,21
2020-05-19,deaths,0
2020-05-19,recovered,5
2020-05-20,confirmed,21
2020-05-20,deaths,0
2020-05-20,recovered,5
2020-05-21,confirmed,21
2020-05-21,deaths,0
2020-05-21,recovered,6
2020-05-22,confirmed,21
2020-05-22,deaths,0
2020-05-22,recovered,6
2020-05-23,confirmed,24
2020-05-23,deaths,0
2020-05-23,recovered,6
2020-05-24,confirmed,24
2020-05-24,deaths,0
2020-05-24,recovered,6
2020-05-25,confirmed,27
2020-05-25,deaths,0
2020-05-25,recovered,6
2020-05-26,confirmed,27
2020-05-26,deaths,0
2020-05-26,recovered,6
2020-05-27,confirmed,28
2020-05-27,deaths,0
2020-05-27,recovered,6
2020-05-28,confirmed,31
2020-05-28,deaths,0
2020-05-28,recovered,6
2020-05-29,confirmed,31
2020-05-29,deaths,0
2020-05-29,recovered,6
2020-05-30,confirmed,33
2020-05-30,deaths,0
2020-05-30,recovered,6
2020-05-31,confirmed,43
2020-05-31,deaths,0
2020-05-31,recovered,6
2020-06-01,confirmed,43
2020-06-01,deaths,0
2020-06-01,recovered,6
2020-06-02,confirmed,47
2020-06-02,deaths,0
2020-06-02,recovered,9
2020-06-03,confirmed,47
2020-06-03,deaths,0
2020-06-03,recovered,9
2020-06-04,confirmed,47
2020-06-04,deaths,0
2020-06-04,recovered,9
2020-06-05,confirmed,48
2020-06-05,deaths,0
2020-06-05,recovered,11
