date,status,cases
2020-01-26,confirmed,1
2020-01-26,deaths,0
2020-01-26,recovered,0
2020-01-27,confirmed,1
2020-01-27,deaths,0
2020-01-27,recovered,0
2020-01-28,confirmed,2
2020-01-28,deaths,0
2020-01-28,recovered,0
2020-01-29,confirmed,2
2020-01-29,deaths,0
2020-01-29,recovered,0
2020-01-30,confirmed,2
2020-01-30,deaths,0
2020-01-30,recovered,0
2020-01-31,confirmed,4
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,4
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,4
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,4
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,4
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,5
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,5
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,7
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,7
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,7
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,7
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,7
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,14
2020-02-12,deaths,0
2020-02-12,recovered,1
2020-02-13,confirmed,14
2020-02-13,deaths,0
2020-02-13,recovered,1
2020-02-14,confirmed,14
2020-02-14,deaths,0
2020-02-14,recovered,1
2020-02-15,confirmed,14
2020-02-15,deaths,0
2020-02-15,recovered,1
2020-02-16,confirmed,14
2020-02-16,deaths,0
2020-02-16,recovered,1
2020-02-17,confirmed,16
2020-02-17,deaths,0
2020-02-17,recovered,1
2020-02-18,confirmed,16
2020-02-18,deaths,0
2020-02-18,recovered,1
2020-02-19,confirmed,16
2020-02-19,deaths,0
2020-02-19,recovered,1
2020-02-20,confirmed,16
2020-02-20,deaths,0
2020-02-20,recovered,1
2020-02-21,confirmed,18
2020-02-21,deaths,0
2020-02-21,recovered,3
2020-02-22,confirmed,18
2020-02-22,deaths,0
2020-02-22,recovered,3
2020-02-23,confirmed,18
2020-02-23,deaths,0
2020-02-23,recovered,3
2020-02-24,confirmed,20
2020-02-24,deaths,0
2020-02-24,recovered,3
2020-02-25,confirmed,22
2020-02-25,deaths,0
2020-02-25,recovered,3
2020-02-26,confirmed,22
2020-02-26,deaths,0
2020-02-26,recovered,3
2020-02-27,confirmed,26
2020-02-27,deaths,0
2020-02-27,recovered,6
2020-02-28,confirmed,28
2020-02-28,deaths,0
2020-02-28,recovered,6
2020-02-29,confirmed,40
2020-02-29,deaths,0
2020-02-29,recovered,6
2020-03-01,confirmed,48
2020-03-01,deaths,0
2020-03-01,recovered,6
2020-03-02,confirmed,54
2020-03-02,deaths,0
2020-03-02,recovered,6
2020-03-03,confirmed,60
2020-03-03,deaths,0
2020-03-03,recovered,6
2020-03-04,confirmed,66
2020-03-04,deaths,0
2020-03-04,recovered,6
2020-03-05,confirmed,74
2020-03-05,deaths,0
2020-03-05,recovered,6
2020-03-06,confirmed,98
2020-03-06,deaths,0
2020-03-06,recovered,6
2020-03-07,confirmed,108
2020-03-07,deaths,0
2020-03-07,recovered,8
2020-03-08,confirmed,128
2020-03-08,deaths,0
2020-03-08,recovered,8
2020-03-09,confirmed,154
2020-03-09,deaths,2
2020-03-09,recovered,8
2020-03-10,confirmed,158
2020-03-10,deaths,2
2020-03-10,recovered,8
2020-03-11,confirmed,216
2020-03-11,deaths,2
2020-03-11,recovered,8
2020-03-12,confirmed,234
2020-03-12,deaths,2
2020-03-12,recovered,8
2020-03-13,confirmed,386
2020-03-13,deaths,2
2020-03-13,recovered,8
2020-03-14,confirmed,396
2020-03-14,deaths,2
2020-03-14,recovered,8
2020-03-15,confirmed,504
2020-03-15,deaths,2
2020-03-15,recovered,8
2020-03-16,confirmed,830
2020-03-16,deaths,8
2020-03-16,recovered,9
2020-03-17,confirmed,956
2020-03-17,deaths,10
2020-03-17,recovered,9
2020-03-18,confirmed,1314
2020-03-18,deaths,16
2020-03-18,recovered,9
2020-03-19,confirmed,1600
2020-03-19,deaths,18
2020-03-19,recovered,9
2020-03-20,confirmed,1886
2020-03-20,deaths,24
2020-03-20,recovered,9
2020-03-21,confirmed,2554
2020-03-21,deaths,38
2020-03-21,recovered,10
2020-03-22,confirmed,2938
2020-03-22,deaths,40
2020-03-22,recovered,10
2020-03-23,confirmed,4176
2020-03-23,deaths,48
2020-03-23,recovered,10
2020-03-24,confirmed,5580
2020-03-24,deaths,50
2020-03-24,recovered,110
2020-03-25,confirmed,6502
2020-03-25,deaths,58
2020-03-25,recovered,183
2020-03-26,confirmed,8084
2020-03-26,deaths,74
2020-03-26,recovered,184
2020-03-27,confirmed,9364
2020-03-27,deaths,106
2020-03-27,recovered,256
2020-03-28,confirmed,11152
2020-03-28,deaths,120
2020-03-28,recovered,466
2020-03-29,confirmed,12560
2020-03-29,deaths,126
2020-03-29,recovered,466
2020-03-30,confirmed,14796
2020-03-30,deaths,158
2020-03-30,recovered,466
2020-03-31,confirmed,17054
2020-03-31,deaths,200
2020-03-31,recovered,1592
2020-04-01,confirmed,19120
2020-04-01,deaths,216
2020-04-01,recovered,1324
2020-04-02,confirmed,22568
2020-04-02,deaths,276
2020-04-02,recovered,1735
2020-04-03,confirmed,24874
2020-04-03,deaths,356
2020-04-03,recovered,2175
2020-04-04,confirmed,25956
2020-04-04,deaths,434
2020-04-04,recovered,2577
2020-04-05,confirmed,31512
2020-04-05,deaths,516
2020-04-05,recovered,3012
2020-04-06,confirmed,33126
2020-04-06,deaths,676
2020-04-06,recovered,3256
2020-04-07,confirmed,35744
2020-04-07,deaths,748
2020-04-07,recovered,3791
2020-04-08,confirmed,38282
2020-04-08,deaths,812
2020-04-08,recovered,4154
2020-04-09,confirmed,41308
2020-04-09,deaths,1004
2020-04-09,recovered,5162
2020-04-10,confirmed,44118
2020-04-10,deaths,1112
2020-04-10,recovered,5855
2020-04-11,confirmed,46632
2020-04-11,deaths,1306
2020-04-11,recovered,6589
2020-04-12,confirmed,48598
2020-04-12,deaths,1426
2020-04-12,recovered,7123
2020-04-13,confirmed,51360
2020-04-13,deaths,1560
2020-04-13,recovered,7758
2020-04-14,confirmed,54070
2020-04-14,deaths,1800
2020-04-14,recovered,8210
2020-04-15,confirmed,56418
2020-04-15,deaths,2014
2020-04-15,recovered,8966
2020-04-16,confirmed,61618
2020-04-16,deaths,2516
2020-04-16,recovered,9698
2020-04-17,confirmed,65628
2020-04-17,deaths,2710
2020-04-17,recovered,10545
2020-04-18,confirmed,68712
2020-04-18,deaths,2800
2020-04-18,recovered,10964
2020-04-19,confirmed,71266
2020-04-19,deaths,3128
2020-04-19,recovered,11847
2020-04-20,confirmed,75316
2020-04-20,deaths,3452
2020-04-20,recovered,12543
