date,status,cases
2020-01-22,confirmed,548
2020-01-22,deaths,17
2020-01-22,recovered,28
2020-01-23,confirmed,643
2020-01-23,deaths,18
2020-01-23,recovered,30
2020-01-24,confirmed,920
2020-01-24,deaths,26
2020-01-24,recovered,36
2020-01-25,confirmed,1406
2020-01-25,deaths,42
2020-01-25,recovered,39
2020-01-26,confirmed,2075
2020-01-26,deaths,56
2020-01-26,recovered,49
2020-01-27,confirmed,2877
2020-01-27,deaths,82
2020-01-27,recovered,58
2020-01-28,confirmed,5509
2020-01-28,deaths,131
2020-01-28,recovered,101
2020-01-29,confirmed,6087
2020-01-29,deaths,133
2020-01-29,recovered,120
2020-01-30,confirmed,8141
2020-01-30,deaths,171
2020-01-30,recovered,135
2020-01-31,confirmed,9802
2020-01-31,deaths,213
2020-01-31,recovered,214
2020-02-01,confirmed,11891
2020-02-01,deaths,259
2020-02-01,recovered,275
2020-02-02,confirmed,16630
2020-02-02,deaths,361
2020-02-02,recovered,463
2020-02-03,confirmed,19716
2020-02-03,deaths,425
2020-02-03,recovered,614
2020-02-04,confirmed,23707
2020-02-04,deaths,491
2020-02-04,recovered,843
2020-02-05,confirmed,27440
2020-02-05,deaths,563
2020-02-05,recovered,1115
2020-02-06,confirmed,30587
2020-02-06,deaths,633
2020-02-06,recovered,1477
2020-02-07,confirmed,34110
2020-02-07,deaths,718
2020-02-07,recovered,1999
2020-02-08,confirmed,36814
2020-02-08,deaths,805
2020-02-08,recovered,2596
2020-02-09,confirmed,39829
2020-02-09,deaths,905
2020-02-09,recovered,3219
2020-02-10,confirmed,42354
2020-02-10,deaths,1012
2020-02-10,recovered,3918
2020-02-11,confirmed,44386
2020-02-11,deaths,1112
2020-02-11,recovered,4636
2020-02-12,confirmed,44759
2020-02-12,deaths,1117
2020-02-12,recovered,5082
2020-02-13,confirmed,59895
2020-02-13,deaths,1369
2020-02-13,recovered,6217
2020-02-14,confirmed,66358
2020-02-14,deaths,1521
2020-02-14,recovered,7977
2020-02-15,confirmed,68413
2020-02-15,deaths,1663
2020-02-15,recovered,9298
2020-02-16,confirmed,70513
2020-02-16,deaths,1766
2020-02-16,recovered,10755
2020-02-17,confirmed,72434
2020-02-17,deaths,1864
2020-02-17,recovered,12462
2020-02-18,confirmed,74211
2020-02-18,deaths,2003
2020-02-18,recovered,14206
2020-02-19,confirmed,74619
2020-02-19,deaths,2116
2020-02-19,recovered,15962
2020-02-20,confirmed,75077
2020-02-20,deaths,2238
2020-02-20,recovered,18014
2020-02-21,confirmed,75550
2020-02-21,deaths,2238
2020-02-21,recovered,18704
2020-02-22,confirmed,77001
2020-02-22,deaths,2443
2020-02-22,recovered,22699
2020-02-23,confirmed,77022
2020-02-23,deaths,2445
2020-02-23,recovered,23187
2020-02-24,confirmed,77241
2020-02-24,deaths,2595
2020-02-24,recovered,25015
2020-02-25,confirmed,77754
2020-02-25,deaths,2665
2020-02-25,recovered,27676
2020-02-26,confirmed,78166
2020-02-26,deaths,2717
2020-02-26,recovered,30084
2020-02-27,confirmed,78600
2020-02-27,deaths,2746
2020-02-27,recovered,32930
2020-02-28,confirmed,78928
2020-02-28,deaths,2790
2020-02-28,recovered,36329
2020-02-29,confirmed,79356
2020-02-29,deaths,2837
2020-02-29,recovered,39320
2020-03-01,confirmed,79932
2020-03-01,deaths,2872
2020-03-01,recovered,42162
2020-03-02,confirmed,80136
2020-03-02,deaths,2914
2020-03-02,recovered,44854
2020-03-03,confirmed,80261
2020-03-03,deaths,2947
2020-03-03,recovered,47450
2020-03-04,confirmed,80386
2020-03-04,deaths,2983
2020-03-04,recovered,50001
2020-03-05,confirmed,80537
2020-03-05,deaths,3015
2020-03-05,recovered,52292
2020-03-06,confirmed,80690
2020-03-06,deaths,3044
2020-03-06,recovered,53944
2020-03-07,confirmed,80770
2020-03-07,deaths,3072
2020-03-07,recovered,55539
