date,status,cases
2020-01-24,confirmed,2
2020-01-24,deaths,0
2020-01-24,recovered,0
2020-01-25,confirmed,3
2020-01-25,deaths,0
2020-01-25,recovered,0
2020-01-26,confirmed,3
2020-01-26,deaths,0
2020-01-26,recovered,0
2020-01-27,confirmed,3
2020-01-27,deaths,0
2020-01-27,recovered,0
2020-01-28,confirmed,4
2020-01-28,deaths,0
2020-01-28,recovered,0
2020-01-29,confirmed,5
2020-01-29,deaths,0
2020-01-29,recovered,0
2020-01-30,confirmed,5
2020-01-30,deaths,0
2020-01-30,recovered,0
2020-01-31,confirmed,5
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,6
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,6
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,6
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,6
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,6
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,6
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,6
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,11
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,11
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,11
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,11
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,11
2020-02-12,deaths,0
2020-02-12,recovered,2
2020-02-13,confirmed,11
2020-02-13,deaths,0
2020-02-13,recovered,2
2020-02-14,confirmed,11
2020-02-14,deaths,0
2020-02-14,recovered,2
2020-02-15,confirmed,12
2020-02-15,deaths,1
2020-02-15,recovered,4
2020-02-16,confirmed,12
2020-02-16,deaths,1
2020-02-16,recovered,4
2020-02-17,confirmed,12
2020-02-17,deaths,1
2020-02-17,recovered,4
2020-02-18,confirmed,12
2020-02-18,deaths,1
2020-02-18,recovered,4
2020-02-19,confirmed,12
2020-02-19,deaths,1
2020-02-19,recovered,4
2020-02-20,confirmed,12
2020-02-20,deaths,1
2020-02-20,recovered,4
2020-02-21,confirmed,12
2020-02-21,deaths,1
2020-02-21,recovered,4
2020-02-22,confirmed,12
2020-02-22,deaths,1
2020-02-22,recovered,4
2020-02-23,confirmed,12
2020-02-23,deaths,1
2020-02-23,recovered,4
2020-02-24,confirmed,12
2020-02-24,deaths,1
2020-02-24,recovered,4
2020-02-25,confirmed,14
2020-02-25,deaths,1
2020-02-25,recovered,11
2020-02-26,confirmed,18
2020-02-26,deaths,2
2020-02-26,recovered,11
2020-02-27,confirmed,38
2020-02-27,deaths,2
2020-02-27,recovered,11
2020-02-28,confirmed,57
2020-02-28,deaths,2
2020-02-28,recovered,11
2020-02-29,confirmed,100
2020-02-29,deaths,2
2020-02-29,recovered,12
2020-03-01,confirmed,130
2020-03-01,deaths,2
2020-03-01,recovered,12
2020-03-02,confirmed,191
2020-03-02,deaths,3
2020-03-02,recovered,12
2020-03-03,confirmed,204
2020-03-03,deaths,4
2020-03-03,recovered,12
2020-03-04,confirmed,288
2020-03-04,deaths,4
2020-03-04,recovered,12
2020-03-05,confirmed,380
2020-03-05,deaths,6
2020-03-05,recovered,12
2020-03-06,confirmed,656
2020-03-06,deaths,9
2020-03-06,recovered,12
2020-03-07,confirmed,959
2020-03-07,deaths,11
2020-03-07,recovered,12
2020-03-08,confirmed,1136
2020-03-08,deaths,19
2020-03-08,recovered,12
2020-03-09,confirmed,1219
2020-03-09,deaths,19
2020-03-09,recovered,12
2020-03-10,confirmed,1794
2020-03-10,deaths,33
2020-03-10,recovered,12
2020-03-11,confirmed,2293
2020-03-11,deaths,48
2020-03-11,recovered,12
2020-03-12,confirmed,2293
2020-03-12,deaths,48
2020-03-12,recovered,12
2020-03-13,confirmed,3681
2020-03-13,deaths,79
2020-03-13,recovered,12
2020-03-14,confirmed,4496
2020-03-14,deaths,91
2020-03-14,recovered,12
2020-03-15,confirmed,4532
2020-03-15,deaths,91
2020-03-15,recovered,12
2020-03-16,confirmed,6683
2020-03-16,deaths,149
2020-03-16,recovered,12
2020-03-17,confirmed,7715
2020-03-17,deaths,149
2020-03-17,recovered,12
2020-03-18,confirmed,9124
2020-03-18,deaths,149
2020-03-18,recovered,12
2020-03-19,confirmed,10970
2020-03-19,deaths,244
2020-03-19,recovered,12
2020-03-20,confirmed,12758
2020-03-20,deaths,451
2020-03-20,recovered,12
2020-03-21,confirmed,14463
2020-03-21,deaths,563
2020-03-21,recovered,12
2020-03-22,confirmed,16243
2020-03-22,deaths,676
2020-03-22,recovered,2206
2020-03-23,confirmed,20123
2020-03-23,deaths,862
2020-03-23,recovered,2206
2020-03-24,confirmed,22622
2020-03-24,deaths,1102
2020-03-24,recovered,3250
2020-03-25,confirmed,25600
2020-03-25,deaths,1333
2020-03-25,recovered,3907
2020-03-26,confirmed,29551
2020-03-26,deaths,1698
2020-03-26,recovered,4955
2020-03-27,confirmed,33402
2020-03-27,deaths,1997
2020-03-27,recovered,5707
2020-03-28,confirmed,38105
2020-03-28,deaths,2317
2020-03-28,recovered,5724
2020-03-29,confirmed,40708
2020-03-29,deaths,2611
2020-03-29,recovered,7226
2020-03-30,confirmed,45170
2020-03-30,deaths,3030
2020-03-30,recovered,7964
2020-03-31,confirmed,52827
2020-03-31,deaths,3532
2020-03-31,recovered,9513
2020-04-01,confirmed,57749
2020-04-01,deaths,4414
2020-04-01,recovered,11053
2020-04-02,confirmed,59929
2020-04-02,deaths,5398
2020-04-02,recovered,12548
2020-04-03,confirmed,65202
2020-04-03,deaths,6520
2020-04-03,recovered,14135
2020-04-04,confirmed,69500
2020-04-04,deaths,7574
2020-04-04,recovered,15572
2020-04-05,confirmed,71412
2020-04-05,deaths,8093
2020-04-05,recovered,16349
2020-04-06,confirmed,75343
2020-04-06,deaths,8926
2020-04-06,recovered,17428
