date,status,cases
2020-01-27,confirmed,1
2020-01-27,deaths,0
2020-01-27,recovered,0
2020-01-28,confirmed,4
2020-01-28,deaths,0
2020-01-28,recovered,0
2020-01-29,confirmed,4
2020-01-29,deaths,0
2020-01-29,recovered,0
2020-01-30,confirmed,4
2020-01-30,deaths,0
2020-01-30,recovered,0
2020-01-31,confirmed,5
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,8
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,10
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,12
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,12
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,12
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,12
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,13
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,13
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,14
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,14
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,16
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,16
2020-02-12,deaths,0
2020-02-12,recovered,0
2020-02-13,confirmed,16
2020-02-13,deaths,0
2020-02-13,recovered,1
2020-02-14,confirmed,16
2020-02-14,deaths,0
2020-02-14,recovered,1
2020-02-15,confirmed,16
2020-02-15,deaths,0
2020-02-15,recovered,1
2020-02-16,confirmed,16
2020-02-16,deaths,0
2020-02-16,recovered,1
2020-02-17,confirmed,16
2020-02-17,deaths,0
2020-02-17,recovered,1
2020-02-18,confirmed,16
2020-02-18,deaths,0
2020-02-18,recovered,12
2020-02-19,confirmed,16
2020-02-19,deaths,0
2020-02-19,recovered,12
2020-02-20,confirmed,16
2020-02-20,deaths,0
2020-02-20,recovered,12
2020-02-21,confirmed,16
2020-02-21,deaths,0
2020-02-21,recovered,14
2020-02-22,confirmed,16
2020-02-22,deaths,0
2020-02-22,recovered,14
2020-02-23,confirmed,16
2020-02-23,deaths,0
2020-02-23,recovered,14
2020-02-24,confirmed,16
2020-02-24,deaths,0
2020-02-24,recovered,14
2020-02-25,confirmed,17
2020-02-25,deaths,0
2020-02-25,recovered,14
2020-02-26,confirmed,27
2020-02-26,deaths,0
2020-02-26,recovered,15
2020-02-27,confirmed,46
2020-02-27,deaths,0
2020-02-27,recovered,16
2020-02-28,confirmed,48
2020-02-28,deaths,0
2020-02-28,recovered,16
2020-02-29,confirmed,79
2020-02-29,deaths,0
2020-02-29,recovered,16
2020-03-01,confirmed,130
2020-03-01,deaths,0
2020-03-01,recovered,16
2020-03-02,confirmed,159
2020-03-02,deaths,0
2020-03-02,recovered,16
2020-03-03,confirmed,196
2020-03-03,deaths,0
2020-03-03,recovered,16
2020-03-04,confirmed,262
2020-03-04,deaths,0
2020-03-04,recovered,16
2020-03-05,confirmed,482
2020-03-05,deaths,0
2020-03-05,recovered,16
2020-03-06,confirmed,670
2020-03-06,deaths,0
2020-03-06,recovered,17
2020-03-07,confirmed,799
2020-03-07,deaths,0
2020-03-07,recovered,18
2020-03-08,confirmed,1040
2020-03-08,deaths,0
2020-03-08,recovered,18
2020-03-09,confirmed,1176
2020-03-09,deaths,2
2020-03-09,recovered,18
2020-03-10,confirmed,1457
2020-03-10,deaths,2
2020-03-10,recovered,18
2020-03-11,confirmed,1908
2020-03-11,deaths,3
2020-03-11,recovered,25
2020-03-12,confirmed,2078
2020-03-12,deaths,3
2020-03-12,recovered,25
2020-03-13,confirmed,3675
2020-03-13,deaths,7
2020-03-13,recovered,46
2020-03-14,confirmed,4585
2020-03-14,deaths,9
2020-03-14,recovered,46
2020-03-15,confirmed,5795
2020-03-15,deaths,11
2020-03-15,recovered,46
2020-03-16,confirmed,7272
2020-03-16,deaths,17
2020-03-16,recovered,67
2020-03-17,confirmed,9257
2020-03-17,deaths,24
2020-03-17,recovered,67
2020-03-18,confirmed,12327
2020-03-18,deaths,28
2020-03-18,recovered,105
2020-03-19,confirmed,15320
2020-03-19,deaths,44
2020-03-19,recovered,113
2020-03-20,confirmed,19848
2020-03-20,deaths,67
2020-03-20,recovered,180
2020-03-21,confirmed,22213
2020-03-21,deaths,84
2020-03-21,recovered,233
2020-03-22,confirmed,24873
2020-03-22,deaths,94
2020-03-22,recovered,266
2020-03-23,confirmed,29056
2020-03-23,deaths,123
2020-03-23,recovered,266
2020-03-24,confirmed,32986
2020-03-24,deaths,157
2020-03-24,recovered,3243
2020-03-25,confirmed,37323
2020-03-25,deaths,206
2020-03-25,recovered,3547
2020-03-26,confirmed,43938
2020-03-26,deaths,267
2020-03-26,recovered,5673
2020-03-27,confirmed,50871
2020-03-27,deaths,342
2020-03-27,recovered,6658
2020-03-28,confirmed,57695
2020-03-28,deaths,433
2020-03-28,recovered,8481
2020-03-29,confirmed,62095
2020-03-29,deaths,533
2020-03-29,recovered,9211
2020-03-30,confirmed,66885
2020-03-30,deaths,645
2020-03-30,recovered,13500
2020-03-31,confirmed,71808
