date,status,cases
2020-01-30,confirmed,1
2020-01-30,deaths,0
2020-01-30,recovered,0
2020-01-31,confirmed,1
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,1
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,2
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,3
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,3
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,3
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,3
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,3
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,3
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,3
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,3
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,3
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,3
2020-02-12,deaths,0
2020-02-12,recovered,0
2020-02-13,confirmed,3
2020-02-13,deaths,0
2020-02-13,recovered,0
2020-02-14,confirmed,3
2020-02-14,deaths,0
2020-02-14,recovered,0
2020-02-15,confirmed,3
2020-02-15,deaths,0
2020-02-15,recovered,0
2020-02-16,confirmed,3
2020-02-16,deaths,0
2020-02-16,recovered,3
2020-02-17,confirmed,3
2020-02-17,deaths,0
2020-02-17,recovered,3
2020-02-18,confirmed,3
2020-02-18,deaths,0
2020-02-18,recovered,3
2020-02-19,confirmed,3
2020-02-19,deaths,0
2020-02-19,recovered,3
2020-02-20,confirmed,3
2020-02-20,deaths,0
2020-02-20,recovered,3
2020-02-21,confirmed,3
2020-02-21,deaths,0
2020-02-21,recovered,3
2020-02-22,confirmed,3
2020-02-22,deaths,0
2020-02-22,recovered,3
2020-02-23,confirmed,3
2020-02-23,deaths,0
2020-02-23,recovered,3
2020-02-24,confirmed,3
2020-02-24,deaths,0
2020-02-24,recovered,3
2020-02-25,confirmed,3
2020-02-25,deaths,0
2020-02-25,recovered,3
2020-02-26,confirmed,3
2020-02-26,deaths,0
2020-02-26,recovered,3
2020-02-27,confirmed,3
2020-02-27,deaths,0
2020-02-27,recovered,3
2020-02-28,confirmed,3
2020-02-28,deaths,0
2020-02-28,recovered,3
2020-02-29,confirmed,3
2020-02-29,deaths,0
2020-02-29,recovered,3
2020-03-01,confirmed,3
2020-03-01,deaths,0
2020-03-01,recovered,3
2020-03-02,confirmed,5
2020-03-02,deaths,0
2020-03-02,recovered,3
2020-03-03,confirmed,5
2020-03-03,deaths,0
2020-03-03,recovered,3
2020-03-04,confirmed,28
2020-03-04,deaths,0
2020-03-04,recovered,3
2020-03-05,confirmed,30
2020-03-05,deaths,0
2020-03-05,recovered,3
2020-03-06,confirmed,31
2020-03-06,deaths,0
2020-03-06,recovered,3
2020-03-07,confirmed,34
2020-03-07,deaths,0
2020-03-07,recovered,3
2020-03-08,confirmed,39
2020-03-08,deaths,0
2020-03-08,recovered,3
2020-03-09,confirmed,43
2020-03-09,deaths,0
2020-03-09,recovered,3
2020-03-10,confirmed,56
2020-03-10,deaths,0
2020-03-10,recovered,4
2020-03-11,confirmed,62
2020-03-11,deaths,1
2020-03-11,recovered,4
2020-03-12,confirmed,73
2020-03-12,deaths,1
2020-03-12,recovered,4
2020-03-13,confirmed,82
2020-03-13,deaths,2
2020-03-13,recovered,4
2020-03-14,confirmed,102
2020-03-14,deaths,2
2020-03-14,recovered,4
2020-03-15,confirmed,113
2020-03-15,deaths,2
2020-03-15,recovered,13
2020-03-16,confirmed,119
2020-03-16,deaths,2
2020-03-16,recovered,13
2020-03-17,confirmed,142
2020-03-17,deaths,3
2020-03-17,recovered,14
2020-03-18,confirmed,156
2020-03-18,deaths,3
2020-03-18,recovered,14
2020-03-19,confirmed,194
2020-03-19,deaths,4
2020-03-19,recovered,15
2020-03-20,confirmed,244
2020-03-20,deaths,5
2020-03-20,recovered,20
2020-03-21,confirmed,330
2020-03-21,deaths,4
2020-03-21,recovered,23
2020-03-22,confirmed,396
2020-03-22,deaths,7
