date,status,cases
2020-02-19,confirmed,2
2020-02-19,deaths,2
2020-02-19,recovered,0
2020-02-20,confirmed,5
2020-02-20,deaths,2
2020-02-20,recovered,0
2020-02-21,confirmed,18
2020-02-21,deaths,4
2020-02-21,recovered,0
2020-02-22,confirmed,28
2020-02-22,deaths,5
2020-02-22,recovered,0
2020-02-23,confirmed,43
2020-02-23,deaths,8
2020-02-23,recovered,0
2020-02-24,confirmed,61
2020-02-24,deaths,12
2020-02-24,recovered,0
2020-02-25,confirmed,95
2020-02-25,deaths,16
2020-02-25,recovered,0
2020-02-26,confirmed,139
2020-02-26,deaths,19
2020-02-26,recovered,49
2020-02-27,confirmed,245
2020-02-27,deaths,26
2020-02-27,recovered,49
2020-02-28,confirmed,388
2020-02-28,deaths,34
2020-02-28,recovered,73
2020-02-29,confirmed,593
2020-02-29,deaths,43
2020-02-29,recovered,123
2020-03-01,confirmed,978
2020-03-01,deaths,54
2020-03-01,recovered,175
2020-03-02,confirmed,1501
2020-03-02,deaths,66
2020-03-02,recovered,291
2020-03-03,confirmed,2336
2020-03-03,deaths,77
2020-03-03,recovered,291
2020-03-04,confirmed,2922
2020-03-04,deaths,92
2020-03-04,recovered,552
2020-03-05,confirmed,3513
2020-03-05,deaths,107
2020-03-05,recovered,739
2020-03-06,confirmed,4747
2020-03-06,deaths,124
2020-03-06,recovered,913
2020-03-07,confirmed,5823
2020-03-07,deaths,145
2020-03-07,recovered,1669
2020-03-08,confirmed,6566
2020-03-08,deaths,194
2020-03-08,recovered,2134
2020-03-09,confirmed,7161
2020-03-09,deaths,237
2020-03-09,recovered,2394
2020-03-10,confirmed,8042
2020-03-10,deaths,291
2020-03-10,recovered,2731
2020-03-11,confirmed,9000
2020-03-11,deaths,354
2020-03-11,recovered,2959
2020-03-12,confirmed,10075
2020-03-12,deaths,429
2020-03-12,recovered,2959
2020-03-13,confirmed,11364
2020-03-13,deaths,514
2020-03-13,recovered,2959
2020-03-14,confirmed,12729
2020-03-14,deaths,611
2020-03-14,recovered,2959
2020-03-15,confirmed,13938
2020-03-15,deaths,724
2020-03-15,recovered,4590
2020-03-16,confirmed,14991
2020-03-16,deaths,853
2020-03-16,recovered,4590
2020-03-17,confirmed,16169
2020-03-17,deaths,988
2020-03-17,recovered,5389
2020-03-18,confirmed,17361
2020-03-18,deaths,1135
2020-03-18,recovered,5389
2020-03-19,confirmed,18407
2020-03-19,deaths,1284
2020-03-19,recovered,5710
2020-03-20,confirmed,19644
2020-03-20,deaths,1433
2020-03-20,recovered,6745
2020-03-21,confirmed,20610
2020-03-21,deaths,1556
2020-03-21,recovered,7635
2020-03-22,confirmed,21638
2020-03-22,deaths,1685
2020-03-22,recovered,7931
2020-03-23,confirmed,23049
2020-03-23,deaths,1812
2020-03-23,recovered,7931
2020-03-24,confirmed,24811
2020-03-24,deaths,1934
2020-03-24,recovered,8913
2020-03-25,confirmed,27017
2020-03-25,deaths,2077
2020-03-25,recovered,9625
2020-03-26,confirmed,29406
2020-03-26,deaths,2234
2020-03-26,recovered,10457
2020-03-27,confirmed,32332
2020-03-27,deaths,2378
2020-03-27,recovered,11133
2020-03-28,confirmed,35408
2020-03-28,deaths,2517
2020-03-28,recovered,11679
2020-03-29,confirmed,38309
2020-03-29,deaths,2640
2020-03-29,recovered,12391
2020-03-30,confirmed,41495
2020-03-30,deaths,2757
2020-03-30,recovered,13911
2020-03-31,confirmed,44605
2020-03-31,deaths,2898
