date,status,cases
2020-02-24,confirmed,1
2020-02-24,deaths,0
2020-02-24,recovered,0
2020-02-25,confirmed,1
2020-02-25,deaths,0
2020-02-25,recovered,0
2020-02-26,confirmed,5
2020-02-26,deaths,0
2020-02-26,recovered,0
2020-02-27,confirmed,7
2020-02-27,deaths,0
2020-02-27,recovered,0
2020-02-28,confirmed,7
2020-02-28,deaths,0
2020-02-28,recovered,0
2020-02-29,confirmed,13
2020-02-29,deaths,0
2020-02-29,recovered,0
2020-03-01,confirmed,19
2020-03-01,deaths,0
2020-03-01,recovered,0
2020-03-02,confirmed,26
2020-03-02,deaths,0
2020-03-02,recovered,0
2020-03-03,confirmed,32
2020-03-03,deaths,0
2020-03-03,recovered,0
2020-03-04,confirmed,35
2020-03-04,deaths,2
2020-03-04,recovered,0
2020-03-05,confirmed,35
2020-03-05,deaths,2
2020-03-05,recovered,0
2020-03-06,confirmed,40
2020-03-06,deaths,3
2020-03-06,recovered,0
2020-03-07,confirmed,54
2020-03-07,deaths,4
2020-03-07,recovered,0
2020-03-08,confirmed,60
2020-03-08,deaths,6
2020-03-08,recovered,0
2020-03-09,confirmed,60
2020-03-09,deaths,6
2020-03-09,recovered,3
2020-03-10,confirmed,71
2020-03-10,deaths,7
2020-03-10,recovered,3
2020-03-11,confirmed,71
2020-03-11,deaths,7
2020-03-11,recovered,15
2020-03-12,confirmed,71
2020-03-12,deaths,8
2020-03-12,recovered,15
2020-03-13,confirmed,101
2020-03-13,deaths,9
2020-03-13,recovered,24
2020-03-14,confirmed,110
2020-03-14,deaths,10
2020-03-14,recovered,26
2020-03-15,confirmed,116
2020-03-15,deaths,10
2020-03-15,recovered,26
2020-03-16,confirmed,124
2020-03-16,deaths,10
2020-03-16,recovered,26
2020-03-17,confirmed,154
2020-03-17,deaths,11
2020-03-17,recovered,32
2020-03-18,confirmed,164
2020-03-18,deaths,12
2020-03-18,recovered,43
2020-03-19,confirmed,192
2020-03-19,deaths,13
2020-03-19,recovered,43
2020-03-20,confirmed,208
2020-03-20,deaths,17
2020-03-20,recovered,49
2020-03-21,confirmed,214
2020-03-21,deaths,17
2020-03-21,recovered,51
2020-03-22,confirmed,233
2020-03-22,deaths,20
2020-03-22,recovered,57
2020-03-23,confirmed,266
2020-03-23,deaths,23
2020-03-23,recovered,57
2020-03-24,confirmed,316
2020-03-24,deaths,27
2020-03-24,recovered,75
2020-03-25,confirmed,346
2020-03-25,deaths,29
2020-03-25,recovered,103
2020-03-26,confirmed,382
2020-03-26,deaths,36
2020-03-26,recovered,105
2020-03-27,confirmed,458
2020-03-27,deaths,40
2020-03-27,recovered,122
2020-03-28,confirmed,506
2020-03-28,deaths,42
2020-03-28,recovered,131
2020-03-29,confirmed,547
2020-03-29,deaths,42
2020-03-29,recovered,143
2020-03-30,confirmed,630
2020-03-30,deaths,46
2020-03-30,recovered,152
2020-03-31,confirmed,694
2020-03-31,deaths,50
2020-03-31,recovered,170
2020-04-01,confirmed,728
2020-04-01,deaths,52
2020-04-01,recovered,182
2020-04-02,confirmed,772
2020-04-02,deaths,54
2020-04-02,recovered,202
2020-04-03,confirmed,820
2020-04-03,deaths,54
2020-04-03,recovered,226
2020-04-04,confirmed,878
2020-04-04,deaths,56
2020-04-04,recovered,259
2020-04-05,confirmed,961
2020-04-05,deaths,61
2020-04-05,recovered,279
2020-04-06,confirmed,1031
2020-04-06,deaths,64
2020-04-06,recovered,344
2020-04-07,confirmed,1122
2020-04-07,deaths,65
2020-04-07,recovered,373
2020-04-08,confirmed,1202
2020-04-08,deaths,69
2020-04-08,recovered,452
2020-04-09,confirmed,1232
2020-04-09,deaths,69
2020-04-09,recovered,496
2020-04-10,confirmed,1279
2020-04-10,deaths,70
2020-04-10,recovered,550
2020-04-11,confirmed,1318
2020-04-11,deaths,72
2020-04-11,recovered,601
2020-04-12,confirmed,1352
2020-04-12,deaths,76
2020-04-12,recovered,640
2020-04-13,confirmed,1378
2020-04-13,deaths,78
2020-04-13,recovered,717
2020-04-14,confirmed,1400
2020-04-14,deaths,78
2020-04-14,recovered,766
2020-04-15,confirmed,1415
2020-04-15,deaths,79
2020-04-15,recovered,812
2020-04-16,confirmed,1434
2020-04-16,deaths,80
2020-04-16,recovered,856
2020-04-17,confirmed,1482
2020-04-17,deaths,81
2020-04-17,recovered,906
2020-04-18,confirmed,1513
2020-04-18,deaths,82
2020-04-18,recovered,953
2020-04-19,confirmed,1539
2020-04-19,deaths,82
2020-04-19,recovered,1009
2020-04-20,confirmed,1574
2020-04-20,deaths,82
2020-04-20,recovered,1043
2020-04-21,confirmed,1602
2020-04-21,deaths,83
2020-04-21,recovered,1096
2020-04-22,confirmed,1631
2020-04-22,deaths,83
2020-04-22,recovered,1146
2020-04-23,confirmed,1677
2020-04-23,deaths,83
2020-04-23,recovered,1171
2020-04-24,confirmed,1708
2020-04-24,deaths,86
2020-04-24,recovered,1204
2020-04-25,confirmed,1763
2020-04-25,deaths,86
2020-04-25,recovered,1224
2020-04-26,confirmed,1820
2020-04-26,deaths,87
2020-04-26,recovered,1263
2020-04-27,confirmed,1847
2020-04-27,deaths,88
2020-04-27,recovered,1286
2020-04-28,confirmed,1928
2020-04-28,deaths,90
2020-04-28,recovered,1319
2020-04-29,confirmed,2003
