date,status,cases
2020-01-31,confirmed,2
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,2
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,2
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,2
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,2
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,2
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,2
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,3
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,3
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,3
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,3
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,3
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,3
2020-02-12,deaths,0
2020-02-12,recovered,0
2020-02-13,confirmed,3
2020-02-13,deaths,0
2020-02-13,recovered,0
2020-02-14,confirmed,3
2020-02-14,deaths,0
2020-02-14,recovered,0
2020-02-15,confirmed,3
2020-02-15,deaths,0
2020-02-15,recovered,0
2020-02-16,confirmed,3
2020-02-16,deaths,0
2020-02-16,recovered,0
2020-02-17,confirmed,3
2020-02-17,deaths,0
2020-02-17,recovered,0
2020-02-18,confirmed,3
2020-02-18,deaths,0
2020-02-18,recovered,0
2020-02-19,confirmed,3
2020-02-19,deaths,0
2020-02-19,recovered,0
2020-02-20,confirmed,3
2020-02-20,deaths,0
2020-02-20,recovered,0
2020-02-21,confirmed,20
2020-02-21,deaths,1
2020-02-21,recovered,0
2020-02-22,confirmed,62
2020-02-22,deaths,2
2020-02-22,recovered,1
2020-02-23,confirmed,155
2020-02-23,deaths,3
2020-02-23,recovered,2
2020-02-24,confirmed,229
2020-02-24,deaths,7
2020-02-24,recovered,1
2020-02-25,confirmed,322
2020-02-25,deaths,10
2020-02-25,recovered,1
2020-02-26,confirmed,453
2020-02-26,deaths,12
2020-02-26,recovered,3
2020-02-27,confirmed,655
2020-02-27,deaths,17
2020-02-27,recovered,45
2020-02-28,confirmed,888
2020-02-28,deaths,21
2020-02-28,recovered,46
2020-02-29,confirmed,1128
2020-02-29,deaths,29
2020-02-29,recovered,46
2020-03-01,confirmed,1694
2020-03-01,deaths,34
2020-03-01,recovered,83
2020-03-02,confirmed,2036
2020-03-02,deaths,52
2020-03-02,recovered,149
2020-03-03,confirmed,2502
2020-03-03,deaths,79
2020-03-03,recovered,160
2020-03-04,confirmed,3089
2020-03-04,deaths,107
2020-03-04,recovered,276
2020-03-05,confirmed,3858
2020-03-05,deaths,148
2020-03-05,recovered,414
2020-03-06,confirmed,4636
2020-03-06,deaths,197
2020-03-06,recovered,523
2020-03-07,confirmed,5883
2020-03-07,deaths,233
2020-03-07,recovered,589
2020-03-08,confirmed,7375
2020-03-08,deaths,366
2020-03-08,recovered,622
2020-03-09,confirmed,9172
2020-03-09,deaths,463
2020-03-09,recovered,724
2020-03-10,confirmed,10149
2020-03-10,deaths,631
2020-03-10,recovered,724
2020-03-11,confirmed,12462
2020-03-11,deaths,827
2020-03-11,recovered,1045
2020-03-12,confirmed,12462
2020-03-12,deaths,827
2020-03-12,recovered,1045
2020-03-13,confirmed,17660
2020-03-13,deaths,1266
2020-03-13,recovered,1439
2020-03-14,confirmed,21157
2020-03-14,deaths,1441
2020-03-14,recovered,1966
2020-03-15,confirmed,24747
2020-03-15,deaths,1809
2020-03-15,recovered,2335
2020-03-16,confirmed,27980
2020-03-16,deaths,2158
2020-03-16,recovered,2749
2020-03-17,confirmed,31506
2020-03-17,deaths,2503
2020-03-17,recovered,2941
2020-03-18,confirmed,35713
2020-03-18,deaths,2978
2020-03-18,recovered,4025
2020-03-19,confirmed,41035
2020-03-19,deaths,3405
2020-03-19,recovered,4440
2020-03-20,confirmed,47021
2020-03-20,deaths,4032
2020-03-20,recovered,4440
2020-03-21,confirmed,53578
2020-03-21,deaths,4825
2020-03-21,recovered,6072
2020-03-22,confirmed,59138
2020-03-22,deaths,5476
2020-03-22,recovered,7024
2020-03-23,confirmed,63927
2020-03-23,deaths,6077
2020-03-23,recovered,7024
2020-03-24,confirmed,69176
2020-03-24,deaths,6820
2020-03-24,recovered,8326
2020-03-25,confirmed,74386
2020-03-25,deaths,7503
2020-03-25,recovered,9362
2020-03-26,confirmed,80589
2020-03-26,deaths,8215
2020-03-26,recovered,10361
2020-03-27,confirmed,86498
2020-03-27,deaths,9134
