date,status,cases
2020-01-22,confirmed,2
2020-01-22,deaths,0
2020-01-22,recovered,0
2020-01-23,confirmed,2
2020-01-23,deaths,0
2020-01-23,recovered,0
2020-01-24,confirmed,2
2020-01-24,deaths,0
2020-01-24,recovered,0
2020-01-25,confirmed,2
2020-01-25,deaths,0
2020-01-25,recovered,0
2020-01-26,confirmed,4
2020-01-26,deaths,0
2020-01-26,recovered,1
2020-01-27,confirmed,4
2020-01-27,deaths,0
2020-01-27,recovered,1
2020-01-28,confirmed,7
2020-01-28,deaths,0
2020-01-28,recovered,1
2020-01-29,confirmed,7
2020-01-29,deaths,0
2020-01-29,recovered,1
2020-01-30,confirmed,11
2020-01-30,deaths,0
2020-01-30,recovered,1
2020-01-31,confirmed,15
2020-01-31,deaths,0
2020-01-31,recovered,1
2020-02-01,confirmed,20
2020-02-01,deaths,0
2020-02-01,recovered,1
2020-02-02,confirmed,20
2020-02-02,deaths,0
2020-02-02,recovered,1
2020-02-03,confirmed,20
2020-02-03,deaths,0
2020-02-03,recovered,1
2020-02-04,confirmed,22
2020-02-04,deaths,0
2020-02-04,recovered,1
2020-02-05,confirmed,22
2020-02-05,deaths,0
2020-02-05,recovered,1
2020-02-06,confirmed,22
2020-02-06,deaths,0
2020-02-06,recovered,1
2020-02-07,confirmed,25
2020-02-07,deaths,0
2020-02-07,recovered,1
2020-02-08,confirmed,25
2020-02-08,deaths,0
2020-02-08,recovered,1
2020-02-09,confirmed,26
2020-02-09,deaths,0
2020-02-09,recovered,1
2020-02-10,confirmed,26
2020-02-10,deaths,0
2020-02-10,recovered,4
2020-02-11,confirmed,26
2020-02-11,deaths,0
2020-02-11,recovered,9
2020-02-12,confirmed,28
2020-02-12,deaths,0
2020-02-12,recovered,9
2020-02-13,confirmed,28
2020-02-13,deaths,1
2020-02-13,recovered,9
2020-02-14,confirmed,29
2020-02-14,deaths,1
2020-02-14,recovered,9
2020-02-15,confirmed,43
2020-02-15,deaths,1
2020-02-15,recovered,12
2020-02-16,confirmed,59
2020-02-16,deaths,1
2020-02-16,recovered,12
2020-02-17,confirmed,66
2020-02-17,deaths,1
2020-02-17,recovered,12
2020-02-18,confirmed,74
2020-02-18,deaths,1
2020-02-18,recovered,13
2020-02-19,confirmed,84
2020-02-19,deaths,1
2020-02-19,recovered,18
2020-02-20,confirmed,94
2020-02-20,deaths,1
2020-02-20,recovered,18
2020-02-21,confirmed,105
2020-02-21,deaths,1
2020-02-21,recovered,22
2020-02-22,confirmed,122
2020-02-22,deaths,1
2020-02-22,recovered,22
2020-02-23,confirmed,147
2020-02-23,deaths,1
2020-02-23,recovered,22
2020-02-24,confirmed,159
2020-02-24,deaths,1
2020-02-24,recovered,22
2020-02-25,confirmed,170
2020-02-25,deaths,1
2020-02-25,recovered,22
2020-02-26,confirmed,189
2020-02-26,deaths,2
2020-02-26,recovered,22
2020-02-27,confirmed,214
2020-02-27,deaths,4
2020-02-27,recovered,22
2020-02-28,confirmed,228
2020-02-28,deaths,4
2020-02-28,recovered,22
2020-02-29,confirmed,241
2020-02-29,deaths,5
2020-02-29,recovered,32
2020-03-01,confirmed,256
2020-03-01,deaths,6
2020-03-01,recovered,32
2020-03-02,confirmed,274
2020-03-02,deaths,6
2020-03-02,recovered,32
2020-03-03,confirmed,293
2020-03-03,deaths,6
2020-03-03,recovered,43
2020-03-04,confirmed,331
2020-03-04,deaths,6
2020-03-04,recovered,43
2020-03-05,confirmed,360
2020-03-05,deaths,6
2020-03-05,recovered,43
2020-03-06,confirmed,420
2020-03-06,deaths,6
2020-03-06,recovered,46
2020-03-07,confirmed,461
2020-03-07,deaths,6
2020-03-07,recovered,76
2020-03-08,confirmed,502
2020-03-08,deaths,6
2020-03-08,recovered,76
2020-03-09,confirmed,511
2020-03-09,deaths,10
2020-03-09,recovered,76
2020-03-10,confirmed,581
2020-03-10,deaths,10
2020-03-10,recovered,101
2020-03-11,confirmed,639
2020-03-11,deaths,15
2020-03-11,recovered,118
2020-03-12,confirmed,639
2020-03-12,deaths,16
2020-03-12,recovered,118
2020-03-13,confirmed,701
2020-03-13,deaths,19
2020-03-13,recovered,118
2020-03-14,confirmed,773
2020-03-14,deaths,22
2020-03-14,recovered,118
2020-03-15,confirmed,839
2020-03-15,deaths,22
2020-03-15,recovered,118
2020-03-16,confirmed,839
2020-03-16,deaths,27
2020-03-16,recovered,144
2020-03-17,confirmed,878
2020-03-17,deaths,29
2020-03-17,recovered,144
2020-03-18,confirmed,889
2020-03-18,deaths,29
2020-03-18,recovered,144
2020-03-19,confirmed,924
2020-03-19,deaths,29
2020-03-19,recovered,150
2020-03-20,confirmed,963
2020-03-20,deaths,33
2020-03-20,recovered,191
2020-03-21,confirmed,1007
2020-03-21,deaths,35
2020-03-21,recovered,232
2020-03-22,confirmed,1101
2020-03-22,deaths,41
2020-03-22,recovered,235
2020-03-23,confirmed,1128
2020-03-23,deaths,42
2020-03-23,recovered,235
2020-03-24,confirmed,1193
2020-03-24,deaths,43
2020-03-24,recovered,285
2020-03-25,confirmed,1307
2020-03-25,deaths,45
2020-03-25,recovered,310
2020-03-26,confirmed,1387
2020-03-26,deaths,47
2020-03-26,recovered,359
2020-03-27,confirmed,1468
2020-03-27,deaths,49
2020-03-27,recovered,372
2020-03-28,confirmed,1693
2020-03-28,deaths,52
2020-03-28,recovered,404
2020-03-29,confirmed,1866
2020-03-29,deaths,54
2020-03-29,recovered,424
2020-03-30,confirmed,1866
2020-03-30,deaths,54
2020-03-30,recovered,424
2020-03-31,confirmed,1953
2020-03-31,deaths,56
2020-03-31,recovered,424
2020-04-01,confirmed,2178
2020-04-01,deaths,57
2020-04-01,recovered,472
2020-04-02,confirmed,2495
2020-04-02,deaths,62
2020-04-02,recovered,472
2020-04-03,confirmed,2617
2020-04-03,deaths,63
2020-04-03,recovered,514
2020-04-04,confirmed,3139
2020-04-04,deaths,77
2020-04-04,recovered,514
2020-04-05,confirmed,3139
2020-04-05,deaths,77
2020-04-05,recovered,514
2020-04-06,confirmed,3654
2020-04-06,deaths,85
2020-04-06,recovered,575
2020-04-07,confirmed,3906
2020-04-07,deaths,92
2020-04-07,recovered,592
2020-04-08,confirmed,4257
2020-04-08,deaths,93
2020-04-08,recovered,622
2020-04-09,confirmed,4667
2020-04-09,deaths,94
2020-04-09,recovered,632
2020-04-10,confirmed,5530
2020-04-10,deaths,99
2020-04-10,recovered,685
2020-04-11,confirmed,6005
2020-04-11,deaths,99
2020-04-11,recovered,762
2020-04-12,confirmed,6748
2020-04-12,deaths,108
2020-04-12,recovered,762
2020-04-13,confirmed,7370
2020-04-13,deaths,123
2020-04-13,recovered,784
2020-04-14,confirmed,7645
2020-04-14,deaths,143
2020-04-14,recovered,799
2020-04-15,confirmed,8100
2020-04-15,deaths,146
2020-04-15,recovered,853
2020-04-16,confirmed,8626
2020-04-16,deaths,178
2020-04-16,recovered,901
2020-04-17,confirmed,9787
2020-04-17,deaths,190
2020-04-17,recovered,935
2020-04-18,confirmed,10296
2020-04-18,deaths,222
2020-04-18,recovered,1069
2020-04-19,confirmed,10797
2020-04-19,deaths,236
2020-04-19,recovered,1159
2020-04-20,confirmed,10797
2020-04-20,deaths,236
2020-04-20,recovered,1159
2020-04-21,confirmed,11135
2020-04-21,deaths,263
2020-04-21,recovered,1239
2020-04-22,confirmed,11512
2020-04-22,deaths,281
2020-04-22,recovered,1356
2020-04-23,confirmed,12368
2020-04-23,deaths,328
2020-04-23,recovered,1494
2020-04-24,confirmed,12829
2020-04-24,deaths,345
2020-04-24,recovered,1530
2020-04-25,confirmed,13231
2020-04-25,deaths,360
2020-04-25,recovered,1656
2020-04-26,confirmed,13441
2020-04-26,deaths,372
2020-04-26,recovered,1809
2020-04-27,confirmed,14153
2020-04-27,deaths,385
2020-04-27,recovered,1899
2020-04-28,confirmed,13736
2020-04-28,deaths,394
2020-04-28,recovered,1899
2020-04-29,confirmed,13895
2020-04-29,deaths,413
2020-04-29,recovered,2368
2020-04-30,confirmed,14088
2020-04-30,deaths,430
2020-04-30,recovered,2460
2020-05-01,confirmed,14305
2020-05-01,deaths,455
2020-05-01,recovered,2975
2020-05-02,confirmed,14571
2020-05-02,deaths,474
2020-05-02,recovered,3205
2020-05-03,confirmed,14877
2020-05-03,deaths,487
2020-05-03,recovered,3981
2020-05-04,confirmed,15078
2020-05-04,deaths,536
2020-05-04,recovered,4156
2020-05-05,confirmed,15253
2020-05-05,deaths,556
2020-05-05,recovered,4496
2020-05-06,confirmed,15253
2020-05-06,deaths,556
2020-05-06,recovered,4496
2020-05-07,confirmed,15477
2020-05-07,deaths,577
2020-05-07,recovered,4918
2020-05-08,confirmed,15575
2020-05-08,deaths,590
2020-05-08,recovered,5146
2020-05-09,confirmed,15663
2020-05-09,deaths,607
2020-05-09,recovered,5906
2020-05-10,confirmed,15777
2020-05-10,deaths,624
2020-05-10,recovered,8127
2020-05-11,confirmed,15847
2020-05-11,deaths,633
2020-05-11,recovered,8293
2020-05-12,confirmed,15968
2020-05-12,deaths,657
2020-05-12,recovered,8531
2020-05-13,confirmed,16049
2020-05-13,deaths,678
2020-05-13,recovered,8920
2020-05-14,confirmed,16120
2020-05-14,deaths,697
2020-05-14,recovered,9868
2020-05-15,confirmed,16203
2020-05-15,deaths,713
2020-05-15,recovered,10338
2020-05-16,confirmed,16237
2020-05-16,deaths,725
2020-05-16,recovered,10338
2020-05-17,confirmed,16285
2020-05-17,deaths,744
2020-05-17,recovered,11153
2020-05-18,confirmed,16305
2020-05-18,deaths,749
2020-05-18,recovered,11564
2020-05-19,confirmed,16367
2020-05-19,deaths,768
2020-05-19,recovered,11564
2020-05-20,confirmed,16367
2020-05-20,deaths,768
2020-05-20,recovered,11564
2020-05-21,confirmed,16424
2020-05-21,deaths,777
2020-05-21,recovered,12672
2020-05-22,confirmed,16513
2020-05-22,deaths,796
2020-05-22,recovered,13005
2020-05-23,confirmed,16536
2020-05-23,deaths,808
2020-05-23,recovered,13244
2020-05-24,confirmed,16550
