date,status,cases
2020-01-22,confirmed,1
2020-01-22,deaths,0
2020-01-22,recovered,0
2020-01-23,confirmed,1
2020-01-23,deaths,0
2020-01-23,recovered,0
2020-01-24,confirmed,2
2020-01-24,deaths,0
2020-01-24,recovered,0
2020-01-25,confirmed,2
2020-01-25,deaths,0
2020-01-25,recovered,0
2020-01-26,confirmed,3
2020-01-26,deaths,0
2020-01-26,recovered,0
2020-01-27,confirmed,4
2020-01-27,deaths,0
2020-01-27,recovered,0
2020-01-28,confirmed,4
2020-01-28,deaths,0
2020-01-28,recovered,0
2020-01-29,confirmed,4
2020-01-29,deaths,0
2020-01-29,recovered,0
2020-01-30,confirmed,4
2020-01-30,deaths,0
2020-01-30,recovered,0
2020-01-31,confirmed,11
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,12
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,15
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,15
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,16
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,19
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,23
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,24
2020-02-07,deaths,0
2020-02-07,recovered,1
2020-02-08,confirmed,24
2020-02-08,deaths,0
2020-02-08,recovered,1
2020-02-09,confirmed,25
2020-02-09,deaths,0
2020-02-09,recovered,3
2020-02-10,confirmed,27
2020-02-10,deaths,0
2020-02-10,recovered,3
2020-02-11,confirmed,28
2020-02-11,deaths,0
2020-02-11,recovered,3
2020-02-12,confirmed,28
2020-02-12,deaths,0
2020-02-12,recovered,7
2020-02-13,confirmed,28
2020-02-13,deaths,0
2020-02-13,recovered,7
2020-02-14,confirmed,28
2020-02-14,deaths,0
2020-02-14,recovered,7
2020-02-15,confirmed,28
2020-02-15,deaths,0
2020-02-15,recovered,9
2020-02-16,confirmed,29
2020-02-16,deaths,0
2020-02-16,recovered,9
2020-02-17,confirmed,30
2020-02-17,deaths,0
2020-02-17,recovered,10
2020-02-18,confirmed,31
2020-02-18,deaths,0
2020-02-18,recovered,12
2020-02-19,confirmed,31
2020-02-19,deaths,0
2020-02-19,recovered,12
2020-02-20,confirmed,104
2020-02-20,deaths,1
2020-02-20,recovered,16
2020-02-21,confirmed,204
2020-02-21,deaths,2
2020-02-21,recovered,16
2020-02-22,confirmed,433
2020-02-22,deaths,2
2020-02-22,recovered,16
2020-02-23,confirmed,602
2020-02-23,deaths,6
2020-02-23,recovered,18
2020-02-24,confirmed,833
2020-02-24,deaths,8
2020-02-24,recovered,18
2020-02-25,confirmed,977
2020-02-25,deaths,10
2020-02-25,recovered,22
2020-02-26,confirmed,1261
2020-02-26,deaths,12
2020-02-26,recovered,22
2020-02-27,confirmed,1766
2020-02-27,deaths,13
2020-02-27,recovered,22
2020-02-28,confirmed,2337
2020-02-28,deaths,13
2020-02-28,recovered,22
2020-02-29,confirmed,3150
2020-02-29,deaths,16
2020-02-29,recovered,27
2020-03-01,confirmed,3736
2020-03-01,deaths,17
2020-03-01,recovered,30
2020-03-02,confirmed,4335
2020-03-02,deaths,28
2020-03-02,recovered,30
2020-03-03,confirmed,5186
2020-03-03,deaths,28
2020-03-03,recovered,30
2020-03-04,confirmed,5621
2020-03-04,deaths,35
2020-03-04,recovered,41
2020-03-05,confirmed,6088
2020-03-05,deaths,35
2020-03-05,recovered,41
2020-03-06,confirmed,6593
2020-03-06,deaths,42
2020-03-06,recovered,135
2020-03-07,confirmed,7041
2020-03-07,deaths,44
2020-03-07,recovered,135
2020-03-08,confirmed,7314
2020-03-08,deaths,50
2020-03-08,recovered,118
2020-03-09,confirmed,7478
2020-03-09,deaths,53
2020-03-09,recovered,118
2020-03-10,confirmed,7513
2020-03-10,deaths,54
2020-03-10,recovered,247
2020-03-11,confirmed,7755
2020-03-11,deaths,60
2020-03-11,recovered,288
2020-03-12,confirmed,7869
2020-03-12,deaths,66
2020-03-12,recovered,333
2020-03-13,confirmed,7979
2020-03-13,deaths,66
2020-03-13,recovered,510
2020-03-14,confirmed,8086
2020-03-14,deaths,72
2020-03-14,recovered,510
2020-03-15,confirmed,8162
2020-03-15,deaths,75
2020-03-15,recovered,510
2020-03-16,confirmed,8236
2020-03-16,deaths,75
2020-03-16,recovered,1137
2020-03-17,confirmed,8320
2020-03-17,deaths,81
2020-03-17,recovered,1407
2020-03-18,confirmed,8413
2020-03-18,deaths,84
2020-03-18,recovered,1540
2020-03-19,confirmed,8565
2020-03-19,deaths,91
2020-03-19,recovered,1540
2020-03-20,confirmed,8652
2020-03-20,deaths,94
2020-03-20,recovered,1540
2020-03-21,confirmed,8799
2020-03-21,deaths,102
2020-03-21,recovered,1540
2020-03-22,confirmed,8961
2020-03-22,deaths,111
2020-03-22,recovered,2909
2020-03-23,confirmed,8961
2020-03-23,deaths,111
2020-03-23,recovered,2909
2020-03-24,confirmed,9037
2020-03-24,deaths,120
2020-03-24,recovered,3507
2020-03-25,confirmed,9137
2020-03-25,deaths,126
2020-03-25,recovered,3730
2020-03-26,confirmed,9241
2020-03-26,deaths,131
2020-03-26,recovered,4144
2020-03-27,confirmed,9332
2020-03-27,deaths,139
2020-03-27,recovered,4528
2020-03-28,confirmed,9478
2020-03-28,deaths,144
2020-03-28,recovered,4811
2020-03-29,confirmed,9583
2020-03-29,deaths,152
2020-03-29,recovered,5033
2020-03-30,confirmed,9661
2020-03-30,deaths,158
2020-03-30,recovered,5228
2020-03-31,confirmed,9786
2020-03-31,deaths,162
2020-03-31,recovered,5408
2020-04-01,confirmed,9887
2020-04-01,deaths,165
2020-04-01,recovered,5567
2020-04-02,confirmed,9976
2020-04-02,deaths,169
2020-04-02,recovered,5828
2020-04-03,confirmed,10062
2020-04-03,deaths,174
2020-04-03,recovered,6021
2020-04-04,confirmed,10156
2020-04-04,deaths,177
2020-04-04,recovered,6325
2020-04-05,confirmed,10237
2020-04-05,deaths,183
2020-04-05,recovered,6463
2020-04-06,confirmed,10284
2020-04-06,deaths,186
2020-04-06,recovered,6598
2020-04-07,confirmed,10331
2020-04-07,deaths,192
2020-04-07,recovered,6694
2020-04-08,confirmed,10384
2020-04-08,deaths,200
2020-04-08,recovered,6776
2020-04-09,confirmed,10423
2020-04-09,deaths,204
2020-04-09,recovered,6973
2020-04-10,confirmed,10450
2020-04-10,deaths,208
2020-04-10,recovered,7117
2020-04-11,confirmed,10480
2020-04-11,deaths,211
2020-04-11,recovered,7243
2020-04-12,confirmed,10512
2020-04-12,deaths,214
2020-04-12,recovered,7368
2020-04-13,confirmed,10537
2020-04-13,deaths,217
2020-04-13,recovered,7447
2020-04-14,confirmed,10564
2020-04-14,deaths,222
2020-04-14,recovered,7534
2020-04-15,confirmed,10591
2020-04-15,deaths,225
2020-04-15,recovered,7616
2020-04-16,confirmed,10613
2020-04-16,deaths,229
2020-04-16,recovered,7757
2020-04-17,confirmed,10635
2020-04-17,deaths,230
2020-04-17,recovered,7829
2020-04-18,confirmed,10653
2020-04-18,deaths,232
2020-04-18,recovered,7937
2020-04-19,confirmed,10661
2020-04-19,deaths,234
2020-04-19,recovered,8042
2020-04-20,confirmed,10674
2020-04-20,deaths,236
2020-04-20,recovered,8114
2020-04-21,confirmed,10683
2020-04-21,deaths,237
2020-04-21,recovered,8213
2020-04-22,confirmed,10694
2020-04-22,deaths,238
2020-04-22,recovered,8277
2020-04-23,confirmed,10708
2020-04-23,deaths,240
2020-04-23,recovered,8501
2020-04-24,confirmed,10718
2020-04-24,deaths,240
2020-04-24,recovered,8635
2020-04-25,confirmed,10728
2020-04-25,deaths,242
2020-04-25,recovered,8717
2020-04-26,confirmed,10738
2020-04-26,deaths,243
2020-04-26,recovered,8764
2020-04-27,confirmed,10752
2020-04-27,deaths,244
2020-04-27,recovered,8854
2020-04-28,confirmed,10761
2020-04-28,deaths,246
2020-04-28,recovered,8922
2020-04-29,confirmed,10765
2020-04-29,deaths,247
2020-04-29,recovered,9059
2020-04-30,confirmed,10774
2020-04-30,deaths,248
2020-04-30,recovered,9072
2020-05-01,confirmed,10780
2020-05-01,deaths,250
2020-05-01,recovered,9123
2020-05-02,confirmed,10793
2020-05-02,deaths,250
2020-05-02,recovered,9183
2020-05-03,confirmed,10801
2020-05-03,deaths,252
2020-05-03,recovered,9217
2020-05-04,confirmed,10804
2020-05-04,deaths,254
2020-05-04,recovered,9283
2020-05-05,confirmed,10806
2020-05-05,deaths,255
2020-05-05,recovered,9333
2020-05-06,confirmed,10810
2020-05-06,deaths,256
2020-05-06,recovered,9419
2020-05-07,confirmed,10822
2020-05-07,deaths,256
2020-05-07,recovered,9484
2020-05-08,confirmed,10840
2020-05-08,deaths,256
2020-05-08,recovered,9568
2020-05-09,confirmed,10874
2020-05-09,deaths,256
2020-05-09,recovered,9610
2020-05-10,confirmed,10909
2020-05-10,deaths,256
2020-05-10,recovered,9632
2020-05-11,confirmed,10936
2020-05-11,deaths,258
2020-05-11,recovered,9670
2020-05-12,confirmed,10962
2020-05-12,deaths,259
2020-05-12,recovered,9695
2020-05-13,confirmed,10991
2020-05-13,deaths,260
2020-05-13,recovered,9762
2020-05-14,confirmed,11018
2020-05-14,deaths,260
2020-05-14,recovered,9821
2020-05-15,confirmed,11037
2020-05-15,deaths,262
2020-05-15,recovered,9851
2020-05-16,confirmed,11050
2020-05-16,deaths,262
2020-05-16,recovered,9888
2020-05-17,confirmed,11065
2020-05-17,deaths,263
2020-05-17,recovered,9904
2020-05-18,confirmed,11078
2020-05-18,deaths,263
2020-05-18,recovered,9938
2020-05-19,confirmed,11110
2020-05-19,deaths,263
2020-05-19,recovered,10066
2020-05-20,confirmed,11122
2020-05-20,deaths,264
2020-05-20,recovered,10135
2020-05-21,confirmed,11142
2020-05-21,deaths,264
2020-05-21,recovered,10162
2020-05-22,confirmed,11165
2020-05-22,deaths,266
2020-05-22,recovered,10194
2020-05-23,confirmed,11190
2020-05-23,deaths,266
2020-05-23,recovered,10213
2020-05-24,confirmed,11206
2020-05-24,deaths,267
2020-05-24,recovered,10226
2020-05-25,confirmed,11225
2020-05-25,deaths,269
2020-05-25,recovered,10275
2020-05-26,confirmed,11265
2020-05-26,deaths,269
2020-05-26,recovered,10295
2020-05-27,confirmed,11344
2020-05-27,deaths,269
2020-05-27,recovered,10340
2020-05-28,confirmed,11402
2020-05-28,deaths,269
2020-05-28,recovered,10363
2020-05-29,confirmed,11441
2020-05-29,deaths,269
2020-05-29,recovered,10398
2020-05-30,confirmed,11468
2020-05-30,deaths,270
2020-05-30,recovered,10405
2020-05-31,confirmed,11503
2020-05-31,deaths,271
2020-05-31,recovered,10422
2020-06-01,confirmed,11541
2020-06-01,deaths,272
2020-06-01,recovered,10446
2020-06-02,confirmed,11590
2020-06-02,deaths,273
2020-06-02,recovered,10467
2020-06-03,confirmed,11629
2020-06-03,deaths,273
2020-06-03,recovered,10499
