date,status,cases
2020-01-25,confirmed,1
2020-01-25,deaths,0
2020-01-25,recovered,0
2020-01-26,confirmed,1
2020-01-26,deaths,0
2020-01-26,recovered,0
2020-01-27,confirmed,1
2020-01-27,deaths,0
2020-01-27,recovered,0
2020-01-28,confirmed,1
2020-01-28,deaths,0
2020-01-28,recovered,0
2020-01-29,confirmed,1
2020-01-29,deaths,0
2020-01-29,recovered,0
2020-01-30,confirmed,1
2020-01-30,deaths,0
2020-01-30,recovered,0
2020-01-31,confirmed,1
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,1
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,1
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,1
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,1
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,1
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,1
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,1
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,1
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,1
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,1
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,1
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,1
2020-02-12,deaths,0
2020-02-12,recovered,1
2020-02-13,confirmed,1
2020-02-13,deaths,0
2020-02-13,recovered,1
2020-02-14,confirmed,1
2020-02-14,deaths,0
2020-02-14,recovered,1
2020-02-15,confirmed,1
2020-02-15,deaths,0
2020-02-15,recovered,1
2020-02-16,confirmed,1
2020-02-16,deaths,0
2020-02-16,recovered,1
2020-02-17,confirmed,1
2020-02-17,deaths,0
2020-02-17,recovered,1
2020-02-18,confirmed,1
2020-02-18,deaths,0
2020-02-18,recovered,1
2020-02-19,confirmed,1
2020-02-19,deaths,0
2020-02-19,recovered,1
