date,status,cases
2020-02-28,confirmed,1
2020-02-28,deaths,0
2020-02-28,recovered,0
2020-02-29,confirmed,1
2020-02-29,deaths,0
2020-02-29,recovered,0
2020-03-01,confirmed,1
2020-03-01,deaths,0
2020-03-01,recovered,0
2020-03-02,confirmed,1
2020-03-02,deaths,0
2020-03-02,recovered,0
2020-03-03,confirmed,1
2020-03-03,deaths,0
2020-03-03,recovered,0
2020-03-04,confirmed,3
2020-03-04,deaths,0
2020-03-04,recovered,0
2020-03-05,confirmed,3
2020-03-05,deaths,0
2020-03-05,recovered,0
2020-03-06,confirmed,4
2020-03-06,deaths,0
2020-03-06,recovered,0
2020-03-07,confirmed,5
2020-03-07,deaths,0
2020-03-07,recovered,0
2020-03-08,confirmed,5
2020-03-08,deaths,0
2020-03-08,recovered,0
2020-03-09,confirmed,5
2020-03-09,deaths,0
2020-03-09,recovered,0
2020-03-10,confirmed,5
2020-03-10,deaths,0
2020-03-10,recovered,0
2020-03-11,confirmed,5
2020-03-11,deaths,0
2020-03-11,recovered,0
2020-03-12,confirmed,5
2020-03-12,deaths,0
2020-03-12,recovered,0
2020-03-13,confirmed,5
2020-03-13,deaths,0
2020-03-13,recovered,0
2020-03-14,confirmed,6
2020-03-14,deaths,0
2020-03-14,recovered,0
2020-03-15,confirmed,8
2020-03-15,deaths,0
2020-03-15,recovered,0
2020-03-16,confirmed,8
2020-03-16,deaths,0
2020-03-16,recovered,0
2020-03-17,confirmed,12
2020-03-17,deaths,0
2020-03-17,recovered,0
2020-03-18,confirmed,20
2020-03-18,deaths,0
2020-03-18,recovered,0
2020-03-19,confirmed,28
2020-03-19,deaths,0
2020-03-19,recovered,0
2020-03-20,confirmed,39
2020-03-20,deaths,0
2020-03-20,recovered,0
2020-03-21,confirmed,52
2020-03-21,deaths,0
2020-03-21,recovered,0
2020-03-22,confirmed,102
2020-03-22,deaths,0
2020-03-22,recovered,0
2020-03-23,confirmed,102
2020-03-23,deaths,0
2020-03-23,recovered,0
2020-03-24,confirmed,155
2020-03-24,deaths,0
2020-03-24,recovered,12
2020-03-25,confirmed,205
2020-03-25,deaths,0
2020-03-25,recovered,22
2020-03-26,confirmed,283
2020-03-26,deaths,0
2020-03-26,recovered,27
2020-03-27,confirmed,368
2020-03-27,deaths,0
2020-03-27,recovered,37
2020-03-28,confirmed,451
2020-03-28,deaths,0
2020-03-28,recovered,50
2020-03-29,confirmed,514
2020-03-29,deaths,1
2020-03-29,recovered,56
2020-03-30,confirmed,589
2020-03-30,deaths,1
2020-03-30,recovered,63
2020-03-31,confirmed,647
2020-03-31,deaths,1
2020-03-31,recovered,74
2020-04-01,confirmed,708
2020-04-01,deaths,1
2020-04-01,recovered,83
2020-04-02,confirmed,797
2020-04-02,deaths,1
2020-04-02,recovered,92
2020-04-03,confirmed,868
2020-04-03,deaths,1
2020-04-03,recovered,103
2020-04-04,confirmed,950
2020-04-04,deaths,1
2020-04-04,recovered,127
2020-04-05,confirmed,1039
2020-04-05,deaths,1
2020-04-05,recovered,156
2020-04-06,confirmed,1106
2020-04-06,deaths,1
2020-04-06,recovered,176
2020-04-07,confirmed,1160
2020-04-07,deaths,1
2020-04-07,recovered,241
2020-04-08,confirmed,1210
2020-04-08,deaths,1
2020-04-08,recovered,282
2020-04-09,confirmed,1239
2020-04-09,deaths,1
2020-04-09,recovered,317
2020-04-10,confirmed,1283
2020-04-10,deaths,2
2020-04-10,recovered,373
2020-04-11,confirmed,1312
2020-04-11,deaths,4
2020-04-11,recovered,422
2020-04-12,confirmed,1330
2020-04-12,deaths,4
2020-04-12,recovered,471
2020-04-13,confirmed,1349
2020-04-13,deaths,5
2020-04-13,recovered,546
2020-04-14,confirmed,1366
2020-04-14,deaths,9
2020-04-14,recovered,628
2020-04-15,confirmed,1386
2020-04-15,deaths,9
2020-04-15,recovered,728
2020-04-16,confirmed,1401
2020-04-16,deaths,9
2020-04-16,recovered,770
2020-04-17,confirmed,1409
2020-04-17,deaths,11
2020-04-17,recovered,816
2020-04-18,confirmed,1422
2020-04-18,deaths,11
2020-04-18,recovered,867
2020-04-19,confirmed,1431
2020-04-19,deaths,12
2020-04-19,recovered,912
2020-04-20,confirmed,1440
2020-04-20,deaths,12
2020-04-20,recovered,974
2020-04-21,confirmed,1445
2020-04-21,deaths,13
2020-04-21,recovered,1006
2020-04-22,confirmed,1451
2020-04-22,deaths,14
2020-04-22,recovered,1036
2020-04-23,confirmed,1456
2020-04-23,deaths,17
2020-04-23,recovered,1095
2020-04-24,confirmed,1461
2020-04-24,deaths,18
2020-04-24,recovered,1118
2020-04-25,confirmed,1470
2020-04-25,deaths,18
2020-04-25,recovered,1142
2020-04-26,confirmed,1469
2020-04-26,deaths,19
2020-04-26,recovered,1180
2020-04-27,confirmed,1472
2020-04-27,deaths,19
2020-04-27,recovered,1214
2020-04-28,confirmed,1474
2020-04-28,deaths,19
2020-04-28,recovered,1229
2020-04-29,confirmed,1476
2020-04-29,deaths,19
2020-04-29,recovered,1241
2020-04-30,confirmed,1479
2020-04-30,deaths,19
2020-04-30,recovered,1252
2020-05-01,confirmed,1485
2020-05-01,deaths,20
2020-05-01,recovered,1263
2020-05-02,confirmed,1487
2020-05-02,deaths,20
2020-05-02,recovered,1266
2020-05-03,confirmed,1487
2020-05-03,deaths,20
2020-05-03,recovered,1276
2020-05-04,confirmed,1486
2020-05-04,deaths,20
2020-05-04,recovered,1302
2020-05-05,confirmed,1488
2020-05-05,deaths,21
2020-05-05,recovered,1316
2020-05-06,confirmed,1489
2020-05-06,deaths,21
2020-05-06,recovered,1332
2020-05-07,confirmed,1490
2020-05-07,deaths,21
2020-05-07,recovered,1347
2020-05-08,confirmed,1492
2020-05-08,deaths,21
2020-05-08,recovered,1368
2020-05-09,confirmed,1494
2020-05-09,deaths,21
2020-05-09,recovered,1371
2020-05-10,confirmed,1497
2020-05-10,deaths,21
2020-05-10,recovered,1386
2020-05-11,confirmed,1497
2020-05-11,deaths,21
2020-05-11,recovered,1398
2020-05-12,confirmed,1497
2020-05-12,deaths,21
2020-05-12,recovered,1402
2020-05-13,confirmed,1497
2020-05-13,deaths,21
2020-05-13,recovered,1411
2020-05-14,confirmed,1498
2020-05-14,deaths,21
2020-05-14,recovered,1421
2020-05-15,confirmed,1498
2020-05-15,deaths,21
2020-05-15,recovered,1428
2020-05-16,confirmed,1499
2020-05-16,deaths,21
2020-05-16,recovered,1433
2020-05-17,confirmed,1499
2020-05-17,deaths,21
2020-05-17,recovered,1433
2020-05-18,confirmed,1499
2020-05-18,deaths,21
2020-05-18,recovered,1433
2020-05-19,confirmed,1503
2020-05-19,deaths,21
2020-05-19,recovered,1447
2020-05-20,confirmed,1503
2020-05-20,deaths,21
2020-05-20,recovered,1452
2020-05-21,confirmed,1504
2020-05-21,deaths,21
2020-05-21,recovered,1455
2020-05-22,confirmed,1504
2020-05-22,deaths,21
2020-05-22,recovered,1455
2020-05-23,confirmed,1504
2020-05-23,deaths,21
2020-05-23,recovered,1456
2020-05-24,confirmed,1504
2020-05-24,deaths,21
2020-05-24,recovered,1456
2020-05-25,confirmed,1504
2020-05-25,deaths,21
2020-05-25,recovered,1461
2020-05-26,confirmed,1504
2020-05-26,deaths,21
2020-05-26,recovered,1462
2020-05-27,confirmed,1504
2020-05-27,deaths,22
2020-05-27,recovered,1474
2020-05-28,confirmed,1504
2020-05-28,deaths,22
2020-05-28,recovered,1481
2020-05-29,confirmed,1504
2020-05-29,deaths,22
2020-05-29,recovered,1481
2020-05-30,confirmed,1504
2020-05-30,deaths,22
2020-05-30,recovered,1481
2020-05-31,confirmed,1504
2020-05-31,deaths,22
2020-05-31,recovered,1481
2020-06-01,confirmed,1504
2020-06-01,deaths,22
2020-06-01,recovered,1481
2020-06-02,confirmed,1504
2020-06-02,deaths,22
2020-06-02,recovered,1481
