date,status,cases
2020-02-26,confirmed,2
2020-02-26,deaths,0
2020-02-26,recovered,0
2020-02-27,confirmed,2
2020-02-27,deaths,0
2020-02-27,recovered,0
2020-02-28,confirmed,2
2020-02-28,deaths,0
2020-02-28,recovered,0
2020-02-29,confirmed,4
2020-02-29,deaths,0
2020-02-29,recovered,0
2020-03-01,confirmed,4
2020-03-01,deaths,0
2020-03-01,recovered,0
2020-03-02,confirmed,4
2020-03-02,deaths,0
2020-03-02,recovered,0
2020-03-03,confirmed,5
2020-03-03,deaths,0
2020-03-03,recovered,0
2020-03-04,confirmed,5
2020-03-04,deaths,0
2020-03-04,recovered,0
2020-03-05,confirmed,5
2020-03-05,deaths,0
2020-03-05,recovered,0
2020-03-06,confirmed,6
2020-03-06,deaths,0
2020-03-06,recovered,0
2020-03-07,confirmed,6
2020-03-07,deaths,0
2020-03-07,recovered,0
2020-03-08,confirmed,6
2020-03-08,deaths,0
2020-03-08,recovered,1
2020-03-09,confirmed,6
2020-03-09,deaths,0
2020-03-09,recovered,1
2020-03-10,confirmed,16
2020-03-10,deaths,0
2020-03-10,recovered,1
2020-03-11,confirmed,19
2020-03-11,deaths,0
2020-03-11,recovered,2
2020-03-12,confirmed,20
2020-03-12,deaths,0
2020-03-12,recovered,2
2020-03-13,confirmed,28
2020-03-13,deaths,0
2020-03-13,recovered,2
2020-03-14,confirmed,31
2020-03-14,deaths,0
2020-03-14,recovered,2
2020-03-15,confirmed,53
2020-03-15,deaths,0
2020-03-15,recovered,2
2020-03-16,confirmed,136
2020-03-16,deaths,0
2020-03-16,recovered,2
2020-03-17,confirmed,236
2020-03-17,deaths,0
2020-03-17,recovered,2
2020-03-18,confirmed,299
2020-03-18,deaths,0
2020-03-18,recovered,2
2020-03-19,confirmed,454
2020-03-19,deaths,2
2020-03-19,recovered,13
2020-03-20,confirmed,501
2020-03-20,deaths,3
2020-03-20,recovered,13
2020-03-21,confirmed,730
2020-03-21,deaths,3
2020-03-21,recovered,13
2020-03-22,confirmed,776
2020-03-22,deaths,5
2020-03-22,recovered,5
2020-03-23,confirmed,875
2020-03-23,deaths,6
2020-03-23,recovered,5
2020-03-24,confirmed,972
2020-03-24,deaths,7
2020-03-24,recovered,18
2020-03-25,confirmed,1063
2020-03-25,deaths,8
2020-03-25,recovered,21
2020-03-26,confirmed,1201
2020-03-26,deaths,9
2020-03-26,recovered,21
2020-03-27,confirmed,1373
2020-03-27,deaths,11
2020-03-27,recovered,23
2020-03-28,confirmed,1495
2020-03-28,deaths,12
2020-03-28,recovered,29
2020-03-29,confirmed,1597
2020-03-29,deaths,14
2020-03-29,recovered,29
2020-03-30,confirmed,1717
2020-03-30,deaths,21
2020-03-30,recovered,76
2020-03-31,confirmed,1938
2020-03-31,deaths,26
2020-03-31,recovered,76
2020-04-01,confirmed,2118
2020-04-01,deaths,27
2020-04-01,recovered,94
2020-04-02,confirmed,2421
2020-04-02,deaths,34
2020-04-02,recovered,125
2020-04-03,confirmed,2686
2020-04-03,deaths,40
2020-04-03,recovered,126
2020-04-04,confirmed,2818
2020-04-04,deaths,41
2020-04-04,recovered,131
2020-04-05,confirmed,3157
2020-04-05,deaths,47
2020-04-05,recovered,211
2020-04-06,confirmed,3766
2020-04-06,deaths,53
2020-04-06,recovered,259
2020-04-07,confirmed,4035
2020-04-07,deaths,57
2020-04-07,recovered,429
2020-04-08,confirmed,4263
2020-04-08,deaths,61
2020-04-08,recovered,467
2020-04-09,confirmed,4489
2020-04-09,deaths,65
2020-04-09,recovered,572
2020-04-10,confirmed,4695
2020-04-10,deaths,66
2020-04-10,recovered,727
2020-04-11,confirmed,5011
2020-04-11,deaths,86
2020-04-11,recovered,762
2020-04-12,confirmed,5230
2020-04-12,deaths,91
