date,status,cases
2020-01-31,confirmed,2
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,2
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,2
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,2
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,2
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,2
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,2
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,2
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,2
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,2
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,2
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,2
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,2
2020-02-12,deaths,0
2020-02-12,recovered,2
2020-02-13,confirmed,2
2020-02-13,deaths,0
2020-02-13,recovered,2
2020-02-14,confirmed,2
2020-02-14,deaths,0
2020-02-14,recovered,2
2020-02-15,confirmed,2
2020-02-15,deaths,0
2020-02-15,recovered,2
2020-02-16,confirmed,2
2020-02-16,deaths,0
2020-02-16,recovered,2
2020-02-17,confirmed,2
2020-02-17,deaths,0
2020-02-17,recovered,2
2020-02-18,confirmed,2
2020-02-18,deaths,0
2020-02-18,recovered,2
2020-02-19,confirmed,2
2020-02-19,deaths,0
2020-02-19,recovered,2
2020-02-20,confirmed,2
2020-02-20,deaths,0
2020-02-20,recovered,2
2020-02-21,confirmed,2
2020-02-21,deaths,0
2020-02-21,recovered,2
2020-02-22,confirmed,2
2020-02-22,deaths,0
2020-02-22,recovered,2
2020-02-23,confirmed,2
2020-02-23,deaths,0
2020-02-23,recovered,2
2020-02-24,confirmed,2
2020-02-24,deaths,0
2020-02-24,recovered,2
2020-02-25,confirmed,2
2020-02-25,deaths,0
2020-02-25,recovered,2
2020-02-26,confirmed,2
2020-02-26,deaths,0
2020-02-26,recovered,2
2020-02-27,confirmed,2
2020-02-27,deaths,0
2020-02-27,recovered,2
2020-02-28,confirmed,2
2020-02-28,deaths,0
2020-02-28,recovered,2
2020-02-29,confirmed,2
2020-02-29,deaths,0
2020-02-29,recovered,2
2020-03-01,confirmed,2
2020-03-01,deaths,0
2020-03-01,recovered,2
2020-03-02,confirmed,3
2020-03-02,deaths,0
2020-03-02,recovered,2
2020-03-03,confirmed,3
2020-03-03,deaths,0
2020-03-03,recovered,2
2020-03-04,confirmed,3
2020-03-04,deaths,0
2020-03-04,recovered,2
2020-03-05,confirmed,4
2020-03-05,deaths,0
2020-03-05,recovered,2
2020-03-06,confirmed,13
2020-03-06,deaths,0
2020-03-06,recovered,2
2020-03-07,confirmed,13
2020-03-07,deaths,0
2020-03-07,recovered,2
2020-03-08,confirmed,17
2020-03-08,deaths,0
2020-03-08,recovered,3
2020-03-09,confirmed,17
2020-03-09,deaths,0
2020-03-09,recovered,3
2020-03-10,confirmed,20
2020-03-10,deaths,0
2020-03-10,recovered,3
2020-03-11,confirmed,20
2020-03-11,deaths,0
2020-03-11,recovered,3
2020-03-12,confirmed,28
2020-03-12,deaths,0
2020-03-12,recovered,3
2020-03-13,confirmed,45
2020-03-13,deaths,0
2020-03-13,recovered,3
2020-03-14,confirmed,59
2020-03-14,deaths,0
2020-03-14,recovered,8
2020-03-15,confirmed,63
2020-03-15,deaths,0
2020-03-15,recovered,8
2020-03-16,confirmed,90
2020-03-16,deaths,0
2020-03-16,recovered,8
2020-03-17,confirmed,114
2020-03-17,deaths,0
2020-03-17,recovered,8
2020-03-18,confirmed,147
2020-03-18,deaths,0
2020-03-18,recovered,8
2020-03-19,confirmed,199
2020-03-19,deaths,1
2020-03-19,recovered,9
2020-03-20,confirmed,253
2020-03-20,deaths,1
2020-03-20,recovered,9
2020-03-21,confirmed,306
2020-03-21,deaths,1
2020-03-21,recovered,12
2020-03-22,confirmed,367
2020-03-22,deaths,1
2020-03-22,recovered,16
2020-03-23,confirmed,438
2020-03-23,deaths,1
2020-03-23,recovered,16
2020-03-24,confirmed,495
2020-03-24,deaths,1
2020-03-24,recovered,22
2020-03-25,confirmed,658
2020-03-25,deaths,3
2020-03-25,recovered,29
2020-03-26,confirmed,840
2020-03-26,deaths,3
2020-03-26,recovered,38
2020-03-27,confirmed,1036
2020-03-27,deaths,4
2020-03-27,recovered,45
2020-03-28,confirmed,1264
2020-03-28,deaths,4
2020-03-28,recovered,49
