date,status,cases
2020-02-01,confirmed,1
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,1
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,1
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,1
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,1
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,1
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,1
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,1
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,2
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,2
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,2
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,2
2020-02-12,deaths,0
2020-02-12,recovered,0
2020-02-13,confirmed,2
2020-02-13,deaths,0
2020-02-13,recovered,0
2020-02-14,confirmed,2
2020-02-14,deaths,0
2020-02-14,recovered,0
2020-02-15,confirmed,2
2020-02-15,deaths,0
2020-02-15,recovered,2
2020-02-16,confirmed,2
2020-02-16,deaths,0
2020-02-16,recovered,2
2020-02-17,confirmed,2
2020-02-17,deaths,0
2020-02-17,recovered,2
2020-02-18,confirmed,2
2020-02-18,deaths,0
2020-02-18,recovered,2
2020-02-19,confirmed,2
2020-02-19,deaths,0
2020-02-19,recovered,2
2020-02-20,confirmed,2
2020-02-20,deaths,0
2020-02-20,recovered,2
2020-02-21,confirmed,2
2020-02-21,deaths,0
2020-02-21,recovered,2
2020-02-22,confirmed,2
2020-02-22,deaths,0
2020-02-22,recovered,2
2020-02-23,confirmed,2
2020-02-23,deaths,0
2020-02-23,recovered,2
2020-02-24,confirmed,2
2020-02-24,deaths,0
2020-02-24,recovered,2
2020-02-25,confirmed,6
2020-02-25,deaths,0
2020-02-25,recovered,2
2020-02-26,confirmed,13
2020-02-26,deaths,0
2020-02-26,recovered,2
2020-02-27,confirmed,15
2020-02-27,deaths,0
2020-02-27,recovered,2
2020-02-28,confirmed,32
2020-02-28,deaths,0
2020-02-28,recovered,2
2020-02-29,confirmed,45
2020-02-29,deaths,0
2020-02-29,recovered,2
2020-03-01,confirmed,84
2020-03-01,deaths,0
2020-03-01,recovered,2
2020-03-02,confirmed,120
2020-03-02,deaths,0
2020-03-02,recovered,2
2020-03-03,confirmed,165
2020-03-03,deaths,1
2020-03-03,recovered,2
2020-03-04,confirmed,222
2020-03-04,deaths,2
2020-03-04,recovered,2
2020-03-05,confirmed,259
2020-03-05,deaths,3
2020-03-05,recovered,2
2020-03-06,confirmed,400
2020-03-06,deaths,5
2020-03-06,recovered,2
2020-03-07,confirmed,500
2020-03-07,deaths,10
2020-03-07,recovered,30
2020-03-08,confirmed,673
2020-03-08,deaths,17
2020-03-08,recovered,30
2020-03-09,confirmed,1073
2020-03-09,deaths,28
2020-03-09,recovered,32
2020-03-10,confirmed,1695
2020-03-10,deaths,35
2020-03-10,recovered,32
2020-03-11,confirmed,2277
2020-03-11,deaths,54
2020-03-11,recovered,183
2020-03-12,confirmed,2277
2020-03-12,deaths,55
2020-03-12,recovered,183
2020-03-13,confirmed,5232
2020-03-13,deaths,133
2020-03-13,recovered,193
2020-03-14,confirmed,6391
2020-03-14,deaths,195
2020-03-14,recovered,517
2020-03-15,confirmed,7798
2020-03-15,deaths,289
2020-03-15,recovered,517
2020-03-16,confirmed,9942
2020-03-16,deaths,342
2020-03-16,recovered,530
2020-03-17,confirmed,11748
2020-03-17,deaths,533
2020-03-17,recovered,1028
2020-03-18,confirmed,13910
2020-03-18,deaths,623
2020-03-18,recovered,1081
2020-03-19,confirmed,17963
2020-03-19,deaths,830
2020-03-19,recovered,1107
2020-03-20,confirmed,20410
2020-03-20,deaths,1043
2020-03-20,recovered,1588
2020-03-21,confirmed,25374
2020-03-21,deaths,1375
2020-03-21,recovered,2125
2020-03-22,confirmed,28768
2020-03-22,deaths,1772
2020-03-22,recovered,2575
2020-03-23,confirmed,35136
2020-03-23,deaths,2311
2020-03-23,recovered,2575
2020-03-24,confirmed,39885
2020-03-24,deaths,2808
2020-03-24,recovered,3794
2020-03-25,confirmed,49515
2020-03-25,deaths,3647
2020-03-25,recovered,5367
2020-03-26,confirmed,57786
2020-03-26,deaths,4365
2020-03-26,recovered,7015
2020-03-27,confirmed,65719
2020-03-27,deaths,5138
2020-03-27,recovered,9357
2020-03-28,confirmed,73235
2020-03-28,deaths,5982
2020-03-28,recovered,12285
2020-03-29,confirmed,80110
2020-03-29,deaths,6803
2020-03-29,recovered,14709
2020-03-30,confirmed,87956
2020-03-30,deaths,7716
2020-03-30,recovered,16780
2020-03-31,confirmed,95923
2020-03-31,deaths,8464
2020-03-31,recovered,19259
2020-04-01,confirmed,104118
2020-04-01,deaths,9387
2020-04-01,recovered,22647
2020-04-02,confirmed,112065
2020-04-02,deaths,10348
2020-04-02,recovered,26743
2020-04-03,confirmed,119199
2020-04-03,deaths,11198
2020-04-03,recovered,30513
2020-04-04,confirmed,126168
2020-04-04,deaths,11947
2020-04-04,recovered,34219
2020-04-05,confirmed,131646
2020-04-05,deaths,12641
2020-04-05,recovered,38080
2020-04-06,confirmed,136675
2020-04-06,deaths,13341
2020-04-06,recovered,40437
2020-04-07,confirmed,141942
2020-04-07,deaths,14045
2020-04-07,recovered,43208
2020-04-08,confirmed,148220
2020-04-08,deaths,14792
2020-04-08,recovered,48021
2020-04-09,confirmed,153222
2020-04-09,deaths,15447
2020-04-09,recovered,52165
2020-04-10,confirmed,158273
2020-04-10,deaths,16081
2020-04-10,recovered,55668
2020-04-11,confirmed,163027
2020-04-11,deaths,16606
2020-04-11,recovered,59109
2020-04-12,confirmed,166831
2020-04-12,deaths,17209
2020-04-12,recovered,62391
2020-04-13,confirmed,170099
2020-04-13,deaths,17756
2020-04-13,recovered,64727
2020-04-14,confirmed,172541
2020-04-14,deaths,18056
2020-04-14,recovered,67504
2020-04-15,confirmed,177644
2020-04-15,deaths,18708
2020-04-15,recovered,70853
2020-04-16,confirmed,184948
2020-04-16,deaths,19315
2020-04-16,recovered,74797
2020-04-17,confirmed,190839
2020-04-17,deaths,20002
2020-04-17,recovered,74797
2020-04-18,confirmed,191726
2020-04-18,deaths,20043
2020-04-18,recovered,74797
2020-04-19,confirmed,198674
2020-04-19,deaths,20453
2020-04-19,recovered,77357
2020-04-20,confirmed,200210
2020-04-20,deaths,20852
2020-04-20,recovered,80587
2020-04-21,confirmed,204178
2020-04-21,deaths,21282
2020-04-21,recovered,82514
2020-04-22,confirmed,208389
2020-04-22,deaths,21717
2020-04-22,recovered,85915
2020-04-23,confirmed,213024
2020-04-23,deaths,22157
2020-04-23,recovered,89250
2020-04-24,confirmed,202990
2020-04-24,deaths,22524
2020-04-24,recovered,92355
2020-04-25,confirmed,205905
2020-04-25,deaths,22902
2020-04-25,recovered,95708
2020-04-26,confirmed,207634
2020-04-26,deaths,23190
2020-04-26,recovered,98372
2020-04-27,confirmed,209465
2020-04-27,deaths,23521
2020-04-27,recovered,100875
2020-04-28,confirmed,210773
2020-04-28,deaths,23822
2020-04-28,recovered,102548
2020-04-29,confirmed,212917
2020-04-29,deaths,24275
