date,status,cases
2020-01-31,confirmed,2
2020-01-31,deaths,0
2020-01-31,recovered,0
2020-02-01,confirmed,2
2020-02-01,deaths,0
2020-02-01,recovered,0
2020-02-02,confirmed,2
2020-02-02,deaths,0
2020-02-02,recovered,0
2020-02-03,confirmed,2
2020-02-03,deaths,0
2020-02-03,recovered,0
2020-02-04,confirmed,2
2020-02-04,deaths,0
2020-02-04,recovered,0
2020-02-05,confirmed,2
2020-02-05,deaths,0
2020-02-05,recovered,0
2020-02-06,confirmed,2
2020-02-06,deaths,0
2020-02-06,recovered,0
2020-02-07,confirmed,3
2020-02-07,deaths,0
2020-02-07,recovered,0
2020-02-08,confirmed,3
2020-02-08,deaths,0
2020-02-08,recovered,0
2020-02-09,confirmed,3
2020-02-09,deaths,0
2020-02-09,recovered,0
2020-02-10,confirmed,8
2020-02-10,deaths,0
2020-02-10,recovered,0
2020-02-11,confirmed,8
2020-02-11,deaths,0
2020-02-11,recovered,0
2020-02-12,confirmed,9
2020-02-12,deaths,0
2020-02-12,recovered,1
2020-02-13,confirmed,9
2020-02-13,deaths,0
2020-02-13,recovered,1
2020-02-14,confirmed,9
2020-02-14,deaths,0
2020-02-14,recovered,1
2020-02-15,confirmed,9
2020-02-15,deaths,0
2020-02-15,recovered,1
2020-02-16,confirmed,9
2020-02-16,deaths,0
2020-02-16,recovered,8
2020-02-17,confirmed,9
2020-02-17,deaths,0
2020-02-17,recovered,8
2020-02-18,confirmed,9
2020-02-18,deaths,0
2020-02-18,recovered,8
2020-02-19,confirmed,9
2020-02-19,deaths,0
2020-02-19,recovered,8
2020-02-20,confirmed,9
2020-02-20,deaths,0
2020-02-20,recovered,8
2020-02-21,confirmed,9
2020-02-21,deaths,0
2020-02-21,recovered,8
2020-02-22,confirmed,9
2020-02-22,deaths,0
2020-02-22,recovered,8
2020-02-23,confirmed,9
2020-02-23,deaths,0
2020-02-23,recovered,8
2020-02-24,confirmed,13
2020-02-24,deaths,0
2020-02-24,recovered,8
2020-02-25,confirmed,13
2020-02-25,deaths,0
2020-02-25,recovered,8
2020-02-26,confirmed,13
2020-02-26,deaths,0
2020-02-26,recovered,8
2020-02-27,confirmed,15
2020-02-27,deaths,0
2020-02-27,recovered,8
2020-02-28,confirmed,20
2020-02-28,deaths,0
2020-02-28,recovered,8
2020-02-29,confirmed,23
2020-02-29,deaths,0
2020-02-29,recovered,8
2020-03-01,confirmed,36
2020-03-01,deaths,0
2020-03-01,recovered,8
2020-03-02,confirmed,40
2020-03-02,deaths,0
2020-03-02,recovered,8
2020-03-03,confirmed,51
2020-03-03,deaths,0
2020-03-03,recovered,8
2020-03-04,confirmed,86
2020-03-04,deaths,0
2020-03-04,recovered,8
2020-03-05,confirmed,116
2020-03-05,deaths,0
2020-03-05,recovered,8
2020-03-06,confirmed,164
2020-03-06,deaths,1
2020-03-06,recovered,8
2020-03-07,confirmed,207
2020-03-07,deaths,2
2020-03-07,recovered,18
2020-03-08,confirmed,274
2020-03-08,deaths,2
2020-03-08,recovered,18
2020-03-09,confirmed,322
2020-03-09,deaths,3
2020-03-09,recovered,18
2020-03-10,confirmed,384
2020-03-10,deaths,7
2020-03-10,recovered,19
2020-03-11,confirmed,459
2020-03-11,deaths,7
2020-03-11,recovered,19
2020-03-12,confirmed,459
2020-03-12,deaths,9
2020-03-12,recovered,19
2020-03-13,confirmed,802
2020-03-13,deaths,10
2020-03-13,recovered,19
2020-03-14,confirmed,1144
2020-03-14,deaths,28
2020-03-14,recovered,19
2020-03-15,confirmed,1145
2020-03-15,deaths,43
2020-03-15,recovered,19
2020-03-16,confirmed,1551
2020-03-16,deaths,66
2020-03-16,recovered,21
2020-03-17,confirmed,1960
2020-03-17,deaths,82
2020-03-17,recovered,53
2020-03-18,confirmed,2642
2020-03-18,deaths,116
2020-03-18,recovered,67
2020-03-19,confirmed,2716
2020-03-19,deaths,159
2020-03-19,recovered,67
2020-03-20,confirmed,4014
2020-03-20,deaths,195
2020-03-20,recovered,67
2020-03-21,confirmed,5067
2020-03-21,deaths,251
2020-03-21,recovered,67
2020-03-22,confirmed,5745
2020-03-22,deaths,286
2020-03-22,recovered,67
2020-03-23,confirmed,6726
2020-03-23,deaths,360
2020-03-23,recovered,67
2020-03-24,confirmed,8164
2020-03-24,deaths,509
2020-03-24,recovered,140
2020-03-25,confirmed,9640
2020-03-25,deaths,695
2020-03-25,recovered,140
2020-03-26,confirmed,11812
2020-03-26,deaths,879
2020-03-26,recovered,150
2020-03-27,confirmed,14745
2020-03-27,deaths,1163
2020-03-27,recovered,151
2020-03-28,confirmed,17312
2020-03-28,deaths,1457
